old_flat_key,new_flat_key,oldDefault,newDefault,olden,newen,olden-US,newen-US,oldde,newde,oldde-DE,newde-DE,oldes,newes,oldesCO,newesCO
pages_3_elements_1_rows_4_text,pages_3_elements_1_rows_3_text,"I have a special person (ex: spouse, partner, etc.) who is a real source of comfort to me.","I have a special person (ex: spouse, partner, etc.) who is a real source of comfort to me.",missing key,"I have a special person (ex: spouse, partner, etc.) who is a real source of comfort to me.",missing key,"I have a special person (ex: spouse, partner, etc.) who is a real source of comfort to me.","Ich habe eine besondere Person (z. B. Ehepartner, Partner usw.), die mir wirklich Trost spendet.","Ich habe eine besondere Person (z. B. Ehepartner, Partner usw.), die mir wirklich Trost spendet.",missing key,missing key,"Tengo una persona especial (cónyuge, pareja, etc.) que es una verdadera fuente de consuelo para mí.",missing key,missing key,"Tengo una persona especial (cónyuge, pareja, etc.) que es una verdadera fuente de consuelo para mí."
pages_3_elements_1_rows_5_text,pages_3_elements_1_rows_4_text,My friends really try to help me.,My friends really try to help me.,missing key,My friends really try to help me.,missing key,My friends really try to help me.,"Meine Freunde versuchen wirklich, mir zu helfen.","Meine Freunde versuchen wirklich, mir zu helfen.",missing key,missing key,Mis amigos realmente tratan de ayudarme.,missing key,missing key,Mis amigos realmente tratan de ayudarme.
pages_3_elements_1_rows_6_text,pages_3_elements_1_rows_5_text,I can count on my friends when things go wrong.,I can count on my friends when things go wrong.,missing key,I can count on my friends when things go wrong.,missing key,I can count on my friends when things go wrong.,"Ich kann auf meine Freunde zählen, wenn etwas schief läuft.","Ich kann auf meine Freunde zählen, wenn etwas schief läuft.",missing key,missing key,Puedo contar con mis amigos cuando las cosas van mal.,missing key,missing key,Puedo contar con mis amigos cuando las cosas van mal.
pages_3_elements_1_rows_7_text,pages_3_elements_1_rows_6_text,I can talk about my problems with my family.,I can talk about my problems with my family.,missing key,I can talk about my problems with my family.,missing key,I can talk about my problems with my family.,Ich kann über meine Probleme mit meiner Familie sprechen.,Ich kann über meine Probleme mit meiner Familie sprechen.,missing key,missing key,Puedo hablar de mis problemas con mi familia.,missing key,missing key,Puedo hablar de mis problemas con mi familia.
pages_3_elements_1_rows_8_text,pages_3_elements_1_rows_7_text,I have friends with whom I can share my joys and sorrows.,I have friends with whom I can share my joys and sorrows.,missing key,I have friends with whom I can share my joys and sorrows.,missing key,I have friends with whom I can share my joys and sorrows.,"Ich habe Freunde, mit denen ich meine Freuden und Sorgen teilen kann.","Ich habe Freunde, mit denen ich meine Freuden und Sorgen teilen kann.",missing key,missing key,Tengo amigos con los que puedo compartir mis alegrías y mis penas.,missing key,missing key,Tengo amigos con los que puedo compartir mis alegrías y mis penas.
pages_3_elements_1_rows_10_text,pages_3_elements_1_rows_8_text,My family is willing to help me make decisions.,My family is willing to help me make decisions.,missing key,My family is willing to help me make decisions.,missing key,My family is willing to help me make decisions.,"Meine Familie ist bereit, mir bei Entscheidungsfindungen zu helfen.","Meine Familie ist bereit, mir bei Entscheidungsfindungen zu helfen.",missing key,missing key,Mi familia está dispuesta a ayudarme a tomar decisiones.,missing key,missing key,Mi familia está dispuesta a ayudarme a tomar decisiones.
pages_3_elements_1_title,pages_3_elements_1_title,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.,missing key,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.,missing key,We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.,"Uns interessiert, wie Sie zu den folgenden Aussagen stehen. Lesen Sie jede Aussage sorgfältig durch. Geben Sie an, wie Sie über jede Aussage denken.","Uns interessiert, wie Sie zu den folgenden Aussagen stehen. Lesen Sie jede Aussage sorgfältig durch. Geben Sie an, wie Sie über jede Aussage denken.",missing key,missing key,Nos interesa conocer su opinión sobre las siguientes afirmaciones. Léalas atentamente e indique cómo se siente respecto a cada una.,missing key,missing key,Nos interesa conocer su opinión sobre las siguientes afirmaciones. Léalas atentamente e indique cómo se siente respecto a cada una.
pages_3_elements_2_columns_0_text,pages_3_elements_2_columns_0_text,Never,Never,missing key,Never,missing key,Never,Nie,Nie,missing key,missing key,Nunca,missing key,missing key,Nada de influencia
pages_3_elements_2_columns_1_text,pages_3_elements_2_columns_1_text,Less than once a year,Less than once a year,missing key,Less than once a year,missing key,Less than once a year,Weniger als einmal im Jahr,Weniger als einmal im Jahr,missing key,missing key,Menos de una vez al año,missing key,missing key,Menos de una vez al año
pages_3_elements_2_columns_2_text,pages_3_elements_2_columns_2_text,A few times a year,A few times a year,missing key,A few times a year,missing key,A few times a year,Ein paar Mal im Jahr,Einige Male im Jahr,missing key,missing key,Algunas veces al año,missing key,missing key,Varias veces al año
pages_3_elements_2_columns_3_text,pages_3_elements_2_columns_3_text,A few times a month,A few times a month,missing key,A few times a month,missing key,A few times a month,Ein paar Mal im Monat,Ein paar Mal im Monat,missing key,missing key,Algunas veces al mes,missing key,missing key,Algunas veces al mes
pages_3_elements_2_columns_4_text,pages_3_elements_2_columns_4_text,At least once a week,At least once a week,missing key,At least once a week,missing key,At least once a week,Mindestens einmal in der Woche,Mindestens einmal in der Woche,missing key,missing key,Al menos una vez a la semana,missing key,missing key,Al menos una vez a la semana
pages_3_elements_2_columns_5_text,pages_3_elements_2_columns_5_text,Almost everyday,Almost everyday,missing key,Almost everyday,missing key,Almost everyday,Fast jeden Tag,Fast jeden Tag,missing key,missing key,Casi todos los días,missing key,missing key,Casi todos los días
pages_3_elements_2_rows_0_text,pages_3_elements_2_rows_0_text,You are treated with less courtesy or respect than other people.,You are treated with less courtesy or respect than other people.,missing key,You are treated with less courtesy or respect than other people.,missing key,You are treated with less courtesy or respect than other people.,Sie werden mit weniger Höflichkeit oder Respekt behandelt als andere Menschen.,Sie werden mit weniger Höflichkeit oder Respekt behandelt als andere Menschen.,missing key,missing key,Le tratan con menos cortesía o respeto que a otras personas.,missing key,missing key,Le tratan con menos cortesía o respeto que a otras personas.
pages_3_elements_2_rows_2_text,pages_3_elements_2_rows_1_text,People act as if they think you are not smart.,People act as if they think you are not smart.,missing key,People act as if they think you are not smart.,missing key,People act as if they think you are not smart.,"Die Leute tun so, als ob sie der Meinung wären, dass sie nicht intelligent sind.","Die Leute tun so, als ob sie der Meinung wären, dass sie nicht intelligent sind.",missing key,missing key,La gente actúa como si pensara que usted no es muy inteligente.,missing key,missing key,La gente actúa como si pensara que usted no es muy inteligente.
pages_3_elements_2_rows_4_text,pages_3_elements_2_rows_2_text,You are threatened or harassed.,You are threatened or harassed.,missing key,You are threatened or harassed.,missing key,You are threatened or harassed.,Sie werden bedroht oder belästigt.,Sie werden bedroht oder belästigt.,missing key,missing key,Le amenazan o acosan.,missing key,missing key,Le amenazan o acosan.
pages_3_elements_2_title,pages_3_elements_2_title,In your day-to-day life how often have any of the following things happened to you?,In your day-to-day life how often have any of the following things happened to you?,missing key,In your day-to-day life how often have any of the following things happened to you?,missing key,In your day-to-day life how often have any of the following things happened to you?,Wie oft ist Ihnen in Ihrem Alltag eines der folgenden Dinge passiert?,Wie oft ist Ihnen in Ihrem Alltag eines der folgenden Dinge passiert?,missing key,missing key,"En su vida cotidiana, ¿con qué frecuencia ha vivido usted alguna de las siguientes situaciones?",missing key,missing key,"En su vida cotidiana, ¿con qué frecuencia ha vivido usted alguna de las siguientes situaciones?"
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_0_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_0_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_0_elements_0_title,pages_4_elements_0_elements_0_elements_0_title,"An injury or illness which kept you in bed a week or more, or sent you to the hospital.","An injury or illness which kept you in bed a week or more, or sent you to the hospital.",missing key,"An injury or illness which kept you in bed a week or more, or sent you to the hospital.",missing key,"An injury or illness which kept you in bed a week or more, or sent you to the hospital.","Eine Verletzung oder Krankheit, wegen der Sie mindestens eine Woche oder länger im Bett liegen mussten oder Sie ins Krankenhaus brachte.","Eine Verletzung oder Krankheit, wegen der Sie mindestens eine Woche oder länger im Bett liegen mussten oder Sie ins Krankenhaus brachte.",missing key,missing key,"Una lesión o enfermedad que le haya mantenido en cama una semana o más, o que le haya mandado al hospital.",missing key,missing key,"Una lesión o enfermedad que le haya mantenido en cama una semana o más, o que le haya mandado al hospital."
pages_4_elements_0_elements_0_title,pages_4_elements_0_elements_0_title,Health:,Health:,missing key,Health:,missing key,Health:,Gesundheit:,Gesundheit:,missing key,missing key,Salud:,missing key,missing key,Salud:
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_1_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_1_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_1_elements_0_title,pages_4_elements_0_elements_1_elements_0_title,Change to a new type of work.,Change to a new type of work.,missing key,Change to a new type of work.,missing key,Change to a new type of work.,Wechsel zu einer neuen Art von Arbeit.,Wechsel zu einer neuen Art von Arbeit.,missing key,missing key,Cambio de tipo de trabajo.,missing key,missing key,Cambio de tipo de trabajo.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_1_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_1_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_1_elements_11_title,pages_4_elements_0_elements_1_elements_1_title,Major business adjustment.,Major business adjustment.,missing key,Major business adjustment.,missing key,Major business adjustment.,Größere geschäftliche Anpassungen.,Größere geschäftliche Anpassungen.,missing key,missing key,Cambios importantes de la empresa.,missing key,missing key,Cambios importantes de la empresa.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_1_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_1_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
,pages_4_elements_0_elements_1_elements_2_title,missing key,Retirement,missing key,Retirement.,missing key,Retirement.,missing key,Ruhestand.,missing key,missing key,missing key,missing key,missing key,Jubilación.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_1_elements_3_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_1_elements_3_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_1_elements_13_title,pages_4_elements_0_elements_1_elements_3_title,Loss of a job (laid off from work).,Loss of a job (laid off from work).,missing key,Loss of a job (laid off from work).,missing key,Loss of a job (laid off from work).,Verlust des Arbeitsplatzes (Entlassung).,Verlust des Arbeitsplatzes (Entlassung).,missing key,missing key,Despido con indemnización,missing key,missing key,Despido con indemnización
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_1_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_1_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_1_elements_14_title,pages_4_elements_0_elements_1_elements_4_title,Loss of a job (fired from work).,Loss of a job (fired from work).,missing key,Loss of a job (fired from work).,missing key,Loss of a job (fired from work).,Verlust des Arbeitsplatzes (gekündigt werden).,Verlust des Arbeitsplatzes (gekündigt werden).,missing key,missing key,Despido sin indemnización,missing key,missing key,Despido sin indemnización
pages_4_elements_0_elements_1_title,pages_4_elements_0_elements_1_title,Work:,Work:,missing key,Work:,missing key,Work:,Arbeit:,Arbeit:,missing key,missing key,Trabajo:,missing key,missing key,Trabajo:
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_4_title,pages_4_elements_0_elements_2_elements_0_title,Major change in health or behavior of family member.,Major change in health or behavior of family member.,missing key,Major change in health or behavior of family member.,missing key,Major change in health or behavior of family member.,Wesentliche Änderung des Gesundheitszustands oder Verhaltens eines Familienmitglieds.,Wesentliche Änderung des Gesundheitszustands oder Verhaltens eines Familienmitglieds.,missing key,missing key,Cambio importante en la salud o el comportamiento de un miembro de la familia.,missing key,missing key,Cambio importante en la salud o el comportamiento de un miembro de la familia.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_10_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_10_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_19_title,pages_4_elements_0_elements_2_elements_10_title,Separation from spouse (due to marital problems).,Separation from spouse (due to marital problems).,missing key,Separation from spouse (due to marital problems).,missing key,Separation from spouse (due to marital problems).,Trennung vom Ehepartner (aufgrund von Eheproblemen).,Trennung vom Ehepartner (aufgrund von Eheproblemen).,missing key,missing key,Separación del cónyuge (por problemas conyugales).,missing key,missing key,Separación del cónyuge (por problemas conyugales).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_11_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_11_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_20_title,pages_4_elements_0_elements_2_elements_11_title,Divorce.,Divorce.,missing key,Divorce.,missing key,Divorce.,Scheidung.,Scheidung.,missing key,missing key,Divorcio.,missing key,missing key,Divorcio.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_12_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_12_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_22_title,pages_4_elements_0_elements_2_elements_12_title,Death of a spouse.,Death of a spouse.,missing key,Death of a spouse.,missing key,Death of a spouse.,Tod eines Ehepartners.,Tod eines Ehepartners.,missing key,missing key,Fallecimiento del cónyuge.,missing key,missing key,Fallecimiento del cónyuge.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_13_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_13_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_23_title,pages_4_elements_0_elements_2_elements_13_title,Death of other family member (child).,Death of other family member (child).,missing key,Death of other family member (child).,missing key,Death of other family member (child).,Tod eines anderen Familienmitglieds (Kind).,Tod eines anderen Familienmitglieds (Kind).,missing key,missing key,Fallecimiento de otro familiar (hijo o hija).,missing key,missing key,Fallecimiento de otro familiar (hijo o hija).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_14_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_14_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_24_title,pages_4_elements_0_elements_2_elements_14_title,Death of other family member (brother or sister).,Death of other family member (brother or sister).,missing key,Death of other family member (brother or sister).,missing key,Death of other family member (brother or sister).,Tod eines anderen Familienmitglieds (Bruder oder Schwester).,Tod eines anderen Familienmitglieds (Bruder oder Schwester).,missing key,missing key,Fallecimiento de otro familiar (hermano o hermana).,missing key,missing key,Fallecimiento de otro familiar (hermano o hermana).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_15_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_15_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_25_title,pages_4_elements_0_elements_2_elements_15_title,Death of other family member (parent).,Death of other family member (parent).,missing key,Death of other family member (parent).,missing key,Death of other family member (parent).,Tod eines anderen Familienmitglieds (Elternteil).,Tod eines anderen Familienmitglieds (Elternteil).,missing key,missing key,Fallecimiento de otro familiar (padre o madre).,missing key,missing key,Fallecimiento de otro familiar (padre o madre).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_5_title,pages_4_elements_0_elements_2_elements_1_title,Marriage.,Marriage.,missing key,Marriage.,missing key,Marriage.,Heirat.,Heirat.,missing key,missing key,Matrimonio.,missing key,missing key,Matrimonio.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_2_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_2_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_6_title,pages_4_elements_0_elements_2_elements_2_title,Pregnancy.,Pregnancy.,missing key,Pregnancy.,missing key,Pregnancy.,Schwangerschaft.,Schwangerschaft.,missing key,missing key,Embarazo.,missing key,missing key,Embarazo.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_3_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_3_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_7_title,pages_4_elements_0_elements_2_elements_3_title,Gain of a new family member (birth of a child).,Gain of a new family member (birth of a child).,missing key,Gain of a new family member (birth of a child).,missing key,Gain of a new family member (birth of a child).,Zuwachs eines neuen Familienmitglieds (Geburt eines Kindes).,Zuwachs eines neuen Familienmitglieds (Geburt eines Kindes).,missing key,missing key,Llegada de un nuevo miembro a la familia (nacimiento de un niño(a)).,missing key,missing key,Llegada de un nuevo miembro a la familia (nacimiento de un niño(a)).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_4_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_4_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_8_title,pages_4_elements_0_elements_2_elements_4_title,Gain of a new family member (adoption of a child).,Gain of a new family member (adoption of a child).,missing key,Gain of a new family member (adoption of a child).,missing key,Gain of a new family member (adoption of a child).,Zuwachs eines neuen Familienmitglieds (Adoption eines Kindes).,Zuwachs eines neuen Familienmitglieds (Adoption eines Kindes).,missing key,missing key,Llegada de un nuevo miembro de la familia (adopción de un niño(a)).,missing key,missing key,Llegada de un nuevo miembro de la familia (adopción de un niño(a)).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_5_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_5_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_9_title,pages_4_elements_0_elements_2_elements_5_title,Gain of a new family member (a relative moving in with you).,Gain of a new family member (a relative moving in with you).,missing key,Gain of a new family member (a relative moving in with you).,missing key,Gain of a new family member (a relative moving in with you).,Zuwachs eines neuen Familienmitglieds (ein Verwandter zieht bei Ihnen ein).,Zuwachs eines neuen Familienmitglieds (ein Verwandter zieht bei Ihnen ein).,missing key,missing key,Llegada de un nuevo familiar (un pariente que se mudó a vivir con usted).,missing key,missing key,Llegada de un nuevo familiar (un pariente que se mudó a vivir con usted).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_6_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_6_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_14_title,pages_4_elements_0_elements_2_elements_6_title,Change in arguments with spouse.,Change in arguments with spouse.,missing key,Change in arguments with spouse.,missing key,Change in arguments with spouse.,Änderung der Streitigkeiten mit dem Ehepartner.,Änderung der Streitigkeiten mit dem Ehepartner.,missing key,missing key,Cambios en el tipo y forma de las discusiones con el cónyuge.,missing key,missing key,Cambios en el tipo y forma de las discusiones con el cónyuge.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_7_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_7_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_16_title,pages_4_elements_0_elements_2_elements_7_title,Change to the marital status of your parents (divorce).,Change to the marital status of your parents (divorce).,missing key,Change to the marital status of your parents (divorce).,missing key,Change to the marital status of your parents (divorce).,Änderung des Ehestandes Ihrer Eltern (Scheidung).,Änderung des Ehestandes Ihrer Eltern (Scheidung).,missing key,missing key,Cambio en el estado civil de sus padres (divorcio).,missing key,missing key,Cambio en el estado civil de sus padres (divorcio).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_8_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_8_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_17_title,pages_4_elements_0_elements_2_elements_8_title,Change to the marital status of your parents (remarriage).,Change to the marital status of your parents (remarriage).,missing key,Change to the marital status of your parents (remarriage).,missing key,Change to the marital status of your parents (remarriage).,Änderung des Ehestandes Ihrer Eltern (erneute Heirat).,Änderung des Ehestandes Ihrer Eltern (erneute Heirat).,missing key,missing key,Cambio de estado civil de sus padres (segundas nupcias).,missing key,missing key,Cambio de estado civil de sus padres (segundas nupcias).
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_2_elements_9_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_2_elements_9_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_2_elements_18_title,pages_4_elements_0_elements_2_elements_9_title,Separation from spouse (due to work).,Separation from spouse (due to work).,missing key,Separation from spouse (due to work).,missing key,Separation from spouse (due to work).,Trennung vom Ehepartner (aus beruflichen Gründen).,Trennung vom Ehepartner (aus beruflichen Gründen).,missing key,missing key,Separación del cónyuge (por motivos de trabajo).,missing key,missing key,Separación del cónyuge (por motivos de trabajo).
pages_4_elements_0_elements_2_title,pages_4_elements_0_elements_2_title,Home and Family:,Home and Family:,missing key,Home and Family:,missing key,Home and Family:,Haus und Familie:,Haus und Familie:,missing key,missing key,Hogar y Familia:,missing key,missing key,Hogar y Familia:
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_3_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_3_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_3_elements_13_title,pages_4_elements_0_elements_3_elements_0_title,Death of a close friend.,Death of a close friend.,missing key,Death of a close friend.,missing key,Death of a close friend.,Tod eines engen Freundes.,Tod eines engen Freundes.,missing key,missing key,Muerte de un amigo cercano.,missing key,missing key,Muerte de un amigo cercano.
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_3_elements_1_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_3_elements_1_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
pages_4_elements_0_elements_3_elements_14_title,pages_4_elements_0_elements_3_elements_1_title,Major decision regarding your immediate future.,Major decision regarding your immediate future.,missing key,Major decision regarding your immediate future.,missing key,Major decision regarding your immediate future.,Wichtige Entscheidung über Ihre unmittelbare Zukunft.,Wichtige Entscheidung über Ihre unmittelbare Zukunft.,missing key,missing key,Decisión importante sobre su futuro inmediato.,missing key,missing key,Decisión importante sobre su futuro inmediato.
pages_4_elements_0_elements_3_title,pages_4_elements_0_elements_3_title,Personal and Social:,Personal and Social:,missing key,Personal and Social:,missing key,Personal and Social:,Persönlich und sozial:,Persönlich und sozial:,missing key,missing key,Personal y Social:,missing key,missing key,Personal y Social:
pages_1_elements_0_elements_0_labelFalse,pages_4_elements_0_elements_4_elements_0_labelFalse,No,No,missing key,No,missing key,No,Nein,Nein,missing key,missing key,No,missing key,missing key,No
pages_1_elements_0_elements_0_labelTrue,pages_4_elements_0_elements_4_elements_0_labelTrue,Yes,Yes,missing key,Yes,missing key,Yes,Ja,Ja,missing key,missing key,Sí,missing key,missing key,Sí
