answer,assessment_stage,audio_file,block_index,chance_level,corpus_file_name,d,difficulty,image,item,item_id,item_uid,orig_item_num,prompt,randomize,required_selections,response_alternatives,source,task,task_dir,task_id,time_limit,trial_num,trial_type
fountain,test_response,ToM-scene3-q1,3,0.5,theory-of-mind-item-bank,,,,3d,ToM-scene3-q1,tom_interpretation_reality_check_1,21,What did Joshua mean to draw?,at_block_level,,tree,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
27-people-jump-wall,test_response,trog-item-27,,0.25,trog-item-bank,-2.837302583,,,they are jumping over the wall,trog-item-27,trog_pluralpronoun_they_jump_wall,27,Touch the picture that shows...,,,"27-girl-jump-wall,27-girls-behind-wall,27-boys-jump-grass",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,singular/plural personal pronoun
67-girl-cat-sitting,test_response,trog-item-67,,0.25,trog-item-bank,-2.196203105,,,not only the girl but also the cat is sitting,trog-item-67,trog_notonly_notonly_girl_cat_sit,67,Touch the picture that shows...,,,"67-girl-cat-stand,67-girl-point-cat,67-girl-sit-cat-stand",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,not only X but also Y
top,test_response,ToM-scene-8-q6-reality_check,8,0.5,CO-theory-of-mind-retest-A,,,,8f,ToM-scene-8-q6-reality_check,tom_moral_reasoning_reality_check_1,,Can you help Mike find his pencil? Is it on top of the shelf or behind the backpack shelf?,at_block_level,,behind,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
8,test_response,missing-number-prompt2,0,0.25,math-item-bank,,-2,,"2, 4, 6, _",missing-num-8by2,math_missing_2_4_6_x,39,What number goes here?,,,"9,10,7",EGMA,math,levante-math-dev,egma-math,5000,,Missing Number
bn12-000,test_response,mental-rotation-prompt1,3,0.5,mental-rotation-item-bank,,20.65816496,,bn12-240,bn12-240,mrot_3d_shape_120,103,Choose the matching picture.,,,"bn12-000,bp12-000",3D,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,3D
5-eating,test_response,trog-item-5,,0.25,trog-item-bank,-3.67535434,,,eating,trog-item-5,trog_verb_eating,5,Choose the picture of...,,,"5-kicking,5-riding,5-dropping",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,verb
baseball,test_response,ToM-scene-11-q2-reality_check,11,0.33,CO-theory-of-mind-retest-A,,,,11b,ToM-scene-11-q2-reality_check,tom_reference_reality_check,,Which ball does Josh want?,at_block_level,,"soccerball,big-basketball",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
,instructions,math-intro2,0,,math-item-bank,,,,,math-intro2,,,Here is another section. The first few are for practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
intersection,test_response,vocab-item-143,1,0.25,vocab-item-bank,-0.4879,,,intersection,intersection,vocab_word_intersection,,,,,"monastery,avenue,level",dutch,vocab,levante-vocabulary-dev,vocab,,,test
12,test_response,missing-number-prompt2,3,0.25,adult-reasoning-item-bank,0.019,,,"_, 13, 15, 18, 22",MD201-G2,ar_reason_13_15_18_22,7,What number goes here?,,,"10,11,9",HRS2010,adult-reasoning,levante-math-dev,adult-reasoning,,,Missing Number
645,test_response,missing-number-prompt2,0,0.25,math-corpus-retest,,-2,,"630, 635, 640, _",math_missing_630_635_640_x,math_missing_630_635_640_x,,What number goes here?,,,"655,650,660",Zehra,math,levante-math-dev,egma-math,5000,,Missing Number
,third_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,0.885542,,Touch two pictures that are the same in a different way.,sds-fist4-5-third,sds_3match_choice3,,,,2,"med-blue-circle-2-gray,med-blue-square,med-green-circle-4-black,med-red-star-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,5,3-match
534,test_response,number-comparison-prompt2,0,0.5,math-item-bank,,-2,,"287, 534",num-comp-534,math_compare_287_534,30,Which is larger?,,,287,EGMA,math,levante-math-dev,egma-math,5000,,Number Comparison
7/4,test_response,addition-prompt2,1,0.25,math-corpus-retest,,0.5,,3/2+1/4,math_fraction_32_14,math_fraction_32_14_74,,Add the numbers.,,,"4/6,4/2,3/4",Zehra,math,levante-math-dev,egma-math,5000,,Fraction
1apple,practice_response,ns-number-identification-1,3,0.33,math-item-bank,,-1,,,ns-number-identification-1,,,Choose the card that shows 1 apple.,,,5apples,Zach,math,levante-math-dev,egma-math,5000,,Non-symbolic Number Identification
240,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.2,,60x4,math_multiply_60_4,math_multiply_60_4,,Multiply the numbers.,,,"180,260,300",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
1-shoe,test_response,trog-item-1,,0.25,trog-item-bank,,,,shoe,trog-item-1,trog_noun_shoe,1,Choose the picture of the...,,,"1-fork,1-boy,1-tree",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,noun
,,,,,,,,,Do you like to read comic books?,,,Example,Example1Comic,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
,fourth_response,sds-2match-prompt2,2,,same-different-selection-item-bank,,1.8597702,,Touch two pictures that are the same in a different way.,sds-fist5-7-fourth,sds_4match_choice4,,,,2,"med-red-triangle-4-striped,med-blue-triangle-3-gray,med-green-star-2,sm-green-circle-striped,med-yellow-square-3-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,7,4-match
arrow,test_response,vocab-item-109,1,0.25,vocab-item-bank,-0.8274,,,arrow,arrow,vocab_word_arrow,,,,,"bow,feather,stick",manual,vocab,levante-vocabulary-dev,vocab,,,test
cheese,test_response,vocab-item-017,1,0.25,vocab-item-bank,-0.0719,,,cheese,cheese,vocab_word_cheese,,,,,"butter,mud,hippopotamus",clip,vocab,levante-vocabulary-dev,vocab,,,test
tf3_23_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_23_M_ss2,tf3_23_M_ss2,matrix_set3_pd_mat23,23,Choose the best pattern to fill in the blank.,,,"tf3_23_T2_ss2_md,tf3_23_T4_ss2_md,tf3_23_T3_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
16,test_response,missing-number-prompt2,0,0.25,math-item-bank,,-2,,"14, 15, _, 17",missing-num-16,math_missing_14_15_x_17,36,What number goes here?,,,"18,20,19",EGMA,math,levante-math-dev,egma-math,5000,,Missing Number
5,test_response,subtraction-prompt2,1,0.25,math-corpus-retest,,-1.4,,11-6,math_subtract_11_6,math_subtract_11_6,,Subtract the numbers.,,,"4,7,6",Zehra,math,levante-math-dev,egma-math,5000,,Subtraction
,instructions,ToM-scene-16-instruct1,16,,theory-of-mind-retest-B,,,,16a,ToM-scene-16-instruct1,,,Dad tells James and Sophie to get ready for school. Dad tells them to put on their shoes.,no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
36,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.1,,4x9,math_multiply_4_9,math_multiply_4_9,,Multiply the numbers.,,,"32,13,46",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
fetch,test_response,vocab-item-119,1,0.25,vocab-item-bank,-1.9109,,,fetch,fetch,vocab_word_fetch,,,,,"jump,fight,sit",dutch,vocab,levante-vocabulary-dev,vocab,,,test
med-red-star-4-striped,test_response,same-different-selection-touch-4,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the card with 4 stars.,sds-dim-test-4,sds_dimensions_number,,,,1,"med-red-star-striped,med-red-star-3-striped,med-red-star-2-striped",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,8,test-dimensions
,instructions,ToM-scene3-instruct3,3,,theory-of-mind-item-bank,,,,3c_nopicture,ToM-scene3-instruct3,,19,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",no,,,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
tf1_4_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,-0.668,,tf1_4_M_ss3,tf1_4_M_ss3,matrix_set1_md_mat4,4,Choose the best pattern to fill in the blank.,,,"tf1_4_T3_ss3_md,tf1_4_T4_ss3_md,tf1_4_T2_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
12,test_response,multiplication-prompt1,1,0.25,math-corpus-retest,,0.1,,3x4,math_multiply_3_4,math_multiply_3_4,,Multiply the numbers and choose the correct answer.,,,"11,7,8",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
yes,test_response,ToM-scene-10-q4-reality_check,10,0.5,CO-theory-of-mind-retest-A,,,,10c,ToM-scene-10-q4-reality_check,tom_deception_reality_check_2,,"Is there still a storybook left, that isn’t being used right now?",no,,no,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
856,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_856_1000,math_slider_856_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
tf3_55_T1_ss1_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_55_M_ss1,tf3_55_M_ss1,matrix_set3_pd_mat55,55,Choose the best pattern to fill in the blank.,,,"tf3_55_T4_ss1_md,tf3_55_T2_ss1_md,tf3_55_T3_ss1_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
med-yellow-star-striped,test_response,same-different-selection-touch-striped,0,0.25,same-different-selection-item-bank,,-4.9103763,,Choose the star on the striped card.,sds-dim-test-striped,sds_dimensions_texture,,,,1,"med-yellow-star-gray,med-yellow-star,med-yellow-star-black",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,4,test-dimensions
floor,test_response,ToM-scene-14-q7-reality_check,14,0.5,theory-of-mind-retest-B,,,,14g,ToM-scene-14-q7-reality_check,tom_moral_reasoning_reality_check_2,,Can you help Bobby find his soccer ball? Is it on the table or on the floor?,at_block_level,,table,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
131,test_response,number-identification-36,0,0.25,math-corpus-retest,,-2,,131,math_identify_131,math_identify_131,,Choose the 131.,,,"121,130,132",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
9,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.5,,"0,10",math_slider_9_10,math_slider_9_10,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
,instructions,ToM-scene-12-instruct3,12,,theory-of-mind-retest-A,,,,12d,ToM-scene-12-instruct3,,,"Dad didn’t hear Emma say she wants her red ball. So dad thinks Emma wants her yellow ball. Dad goes to pack Emma’s bag, but can’t find her yellow ball in the toy box! But dad finds a blue ball in the toy box, so he packs the blue ball for Emma instead.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
45,test_response,number-identification-8,0,0.25,math-item-bank,,-2.5,,45,num-ident-45,math_identify_45,7,Choose the number you hear.,,,"65,54,40",EGMA,math,levante-math-dev,egma-math,5000,,Number Identification
,instructions,ToM-scene-16-instruct5,16,,theory-of-mind-retest-B,,,,16f,ToM-scene-16-instruct5,,,"When James sees that Dad is mad at Sophie, he goes to the toy box and gets the shoe, and gives it back to Sophie.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
74-short-green-pencil,test_response,trog-item-74,,0.25,trog-item-bank,-2.973695072,,,the pencil is neither long nor red,trog-item-74,trog_neither_pencil_long_nor_red,74,Touch the picture that shows...,,,"74-long-red-pencil,74-long-green-pencil,74-short-red-pencil",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,neither X nor Y
calm,test_response,ToM-scene-14-q3-emotion_reasoning,14,0.25,CO-theory-of-mind-retest-B,,,,14f,ToM-scene-14-q3-emotion_reasoning,tom_moral_reasoning_emotion_reasoning_2,,How do you think Anna would feel if she had not seen Bobby reaching for the soccer ball?,yes,,"happy,angry,scared",Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
P1n-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.125,,P1n-040,P1n-040,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
,,,,,,,,,Do you enjoy doing reading activities at school?,,,39,ReadingEnjoy,,,"No, never; Yes, some of the time; Yes, most of the time; Yes, all of the time",Early Childhood Longitudinal Study,child-survey,,child-survey,,,
87-woman-serves-girl-cake,test_response,trog-item-87,,0.25,trog-item-bank,,,,The teacher will give the students cake if they stand in a line.,trog-item-87,trog_conditional_teacher_give_if_stand_line,87,Touch the picture that shows...,,,"87-woman-serves-girl-cake-no-line,87-girl-serves-woman-cake,87-girl-serves-woman-cake-no-line",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,conditional
0.8,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,0,,"0,1",math_line_08_1,math_line_08_1,,Choose the number that is marked on the number line.,,,"0.75,0.95,0.9",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
83-picnic-sunny-park,test_response,trog-item-83,,0.25,trog-item-bank,0.4254710254,,,we will have a picnic in the park if it is sunny,trog-item-83,trog_conditional_we_picnic_if_park_sunny,83,Touch the picture that shows...,,,"83-picnic-park-rainy,83-picnic-island-rainy,83-picnic-island-sunny",Yeatman,TROG,levante-sentence-understanding-dev,trog,,,conditional
P1p-000-silh,test_response,mental-rotation-prompt1,2,0.5,mental-rotation-item-bank,,3.375,,P1p-120,P1p-120,,,Choose the matching picture.,,,"P1p-000-silh,P1n-000-silh",2d-polygon1,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,
tf3_33_T1_ss3_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_33_M_ss3,tf3_33_M_ss3,matrix_set3_pd_mat33,33,Choose the best pattern to fill in the blank.,,,"tf3_33_T4_ss3_md,tf3_33_T2_ss3_md,tf3_33_T3_ss3_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Dp-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,2.50347869,,Dp-200,Dp-200,,34,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_67_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,-0.034,,tf1_67_M_ss3,tf1_67_M_ss3,,67,Choose the best pattern to fill in the blank.,,,"tf1_67_T3_ss3_md,tf1_67_T2_ss3_md,tf1_67_T4_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf3_80_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_80_M_ss2,tf3_80_M_ss2,matrix_set3_md_mat80,80,Choose the best pattern to fill in the blank.,,,"tf3_80_T3_ss2_md,tf3_80_T2_ss2_md,tf3_80_T4_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,number-line-instruct1,2,,math-corpus-retest,,,,slider-example,number-line-instruct1,,,Here is a number line. You can move the slider forward and backward along the line. Move the slider so it is in the right place to show where the number would fit. Make sure you look at the numbers at each end when deciding where to move the slider.,,,,Amy,math,levante-math-dev,egma-math,5000,,instructions
5apples,test_response,ns-number-identification-5,3,0.33,math-item-bank,,4.832628,,,ns-number-identification-5,math_ns_identify_5,,Choose the card that shows 5 apples.,,,"2apples, 7apples",Zach,math,levante-math-dev,egma-math,5000,,Non-symbolic Number Identification
8,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,3+5,math_add_3_5,math_add_3_5,,Add the numbers.,,,"9,6,10",Zehra,math,levante-math-dev,egma-math,5000,,Addition
59,test_response,number-line-prompt1,0,0.25,math-item-bank,,-0.5,,"0,100",line2num-59-100,math_line_59_100,,Choose the number that is marked on the number line.,,,"81,44,76",Siegler,math,levante-math-dev,egma-math,5000,,Number Line 4afc
angry,test_response,ToM-scene2-q2-emotion_reasoning,2,0.25,theory-of-mind-item-bank,,,,2g,ToM-scene2-q2-emotion_reasoning,tom_moral_reasoning_emotion_reasoning_1,12,How do you think Hannah feels about Ethan reaching for that book?,yes,,"happy,calm,scared",ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,emotion_reasoning_question
tf1_49_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,0.399,,tf1_49_M_ss3,tf1_49_M_ss3,,49,Choose the best pattern to fill in the blank.,,,"tf1_49_T4_ss3_md,tf1_49_T2_ss3_md,tf1_49_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
no,test_response,ToM-scene2-q3-false_belief,2,0.5,CO-theory-of-mind-retest-B,,,,2f_new2,ToM-scene2-q3-false_belief,tom_moral_reasoning_false_belief_2,13,Is Ethan being mean and naughty for taking Hannah's book?,no,,yes,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
,instructions,math-intro2,0,,math-item-bank,,,,,math-intro2,,,Here is another section. The first few are for practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
,instructions,ToM-scene7-instruct3,7,,CO-theory-of-mind-retest-A,,,,7c,ToM-scene7-instruct3,,,So now it’s playtime and Diana wants her toy.,no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
,instructions,ToM-scene14-instruct2,14,,theory-of-mind-retest-B,,,,14b,ToM-scene14-instruct2,,,"And then he went outside to play, see? Here’s Bobby playing outside. And while he was outside playing, Bobby’s soccer ball fell off the table and onto the floor.",no,,,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,instructions
rug,test_response,ToM-scene1-q2-reality_check,1,0.5,theory-of-mind-item-bank,,,,1c,ToM-scene1-q2-reality_check,tom_reality_known_reality_check,5,And where is her book really?,at_block_level,,chair,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
59-boy-jumps-horse-stands,test_response,trog-item-59,,0.25,trog-item-bank,-0.2276623642,,,the horse but not the boy is standing,trog-item-59,trog_xnoty_horse_not_boy_stand,59,Touch the picture that shows...,,,"59-horse-and-boy-jump,59-horse-and-boy-stand,59-horse-jumps-boy-stands",Bishop1983,TROG,levante-sentence-understanding-dev,trog,,,X but not Y
73,test_response,number-comparison-prompt2,0,0.5,math-corpus-retest,,-2.5,,"73, 46",math_compare_73_46,math_compare_73_46,,Which is larger?,,,46,Zehra,math,levante-math-dev,egma-math,5000,,Number Comparison
2,practice_response,number-line-prompt1,0,0.25,math-corpus-retest,,,,"0,10",math_line_2_10,,,Choose the number that is marked on the number line.,,,"7,3,8",Zach,math,levante-math-dev,egma-math,5000,,Number Line 4afc
tf1_44_T1_ss1_md,test_response,matrix-reasoning-prompt1,1,0.25,,,2.971,,tf1_44_M_ss1,tf1_44_M_ss1,,44,Choose the best pattern to fill in the blank.,,,"tf1_44_T4_ss1_md,tf1_44_T2_ss1_md,tf1_44_T3_ss1_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
13,test_response,addition-prompt2,1,0.25,math-corpus-retest,,-1.5,,10+3,math_add_10_3,math_add_10_3,,Add the numbers.,,,"14,15,12",Zehra,math,levante-math-dev,egma-math,5000,,Addition
tf1_46_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,,,1.348,,tf1_46_M_ss3,tf1_46_M_ss3,,46,Choose the best pattern to fill in the blank.,,,"tf1_46_T4_ss3_md,tf1_46_T2_ss3_md,tf1_46_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_19_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,2.867,,tf1_19_M_ss3,tf1_19_M_ss3,matrix_set1_md_mat19,19,Choose the best pattern to fill in the blank.,,,"tf1_19_T3_ss3_md,tf1_19_T2_ss3_md,tf1_19_T4_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
tf1_57_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.723,,tf1_57_M_ss2,tf1_57_M_ss2,matrix_set1_md_mat57,57,Choose the best pattern to fill in the blank.,,,"tf1_57_T2_ss2_md,tf1_57_T4_ss2_md,tf1_57_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,-3.3692895,,Rn-040,Rn-040,,6,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
874,test_response,number-line-slider-prompt1,2,0.1,math-corpus-retest,,-0.2,,"0,1000",math_slider_874_1000,math_slider_874_1000,,Move the slider to the indicated number.,,,,Zehra,math,levante-math-dev,egma-math,5000,,Number Line Slider
41,test_response,number-identification-27,0,0.25,math-corpus-retest,,-2.5,,41,math_identify_41,math_identify_41,,Choose the 41.,,,"31,51,39",Zehra,math,levante-math-dev,egma-math,5000,,Number Identification
tf1_75_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,1.383,,tf1_75_M_ss2,tf1_75_M_ss2,matrix_set1_md_mat75,75,Choose the best pattern to fill in the blank.,,,"tf1_75_T3_ss2_md,tf1_75_T2_ss2_md,tf1_75_T4_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,test_response,,,,,,,,Touch another three pictures that are the same in only one way.,,sds_3unique_choice2,,,,,,,same-different-selection,levante-same-different-dev,same-different-selection,,,3-unique
tf3_11_T1_ss2_pd,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-corpus-retest,,,,tf3_11_M_ss2,tf3_11_M_ss2,matrix_set3_pd_mat11,11,Choose the best pattern to fill in the blank.,,,"tf3_11_T3_ss2_md,tf3_11_T4_ss2_md,tf3_11_T2_ss2_md",MarsIB-itemset2-tf3,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Rp-000-silh,practice_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,,,Rp-000,Rp-000,,3,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
8,test_response,subtraction-prompt2,1,0.25,math-item-bank,,-1.4,,16-8,16-8,math_subtract_16_8,86,Subtract the numbers.,,,"9,7,6",EGMA,math,levante-math-dev,egma-math,5000,,Subtraction
tf1_9_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.317,,tf1_9_M_ss2,tf1_9_M_ss2,matrix_set1_md_mat9,9,Choose the best pattern to fill in the blank.,,,"tf1_9_T3_ss2_md,tf1_9_T2_ss2_md,tf1_9_T4_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
Rn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,1.247897058,,Rn-120,Rn-120,mrot_2d_rabbit_120,11,Choose the matching picture.,,,"Rp-000-silh,Rn-000-silh",2d-rabbit,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
tf1_43_T1_ss3_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,0.052,,tf1_43_M_ss3,tf1_43_M_ss3,matrix_set1_md_mat43,43,Choose the best pattern to fill in the blank.,,,"tf1_43_T2_ss3_md,tf1_43_T4_ss3_md,tf1_43_T3_ss3_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
no,test_response,ToM-scene-8-q5-false_belief,8,0.5,theory-of-mind-retest-A,,,,8g,ToM-scene-8-q5-false_belief,tom_moral_reasoning_false_belief_3,,Should Allie get in trouble with the teacher for taking Mike’s pencil?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,false_belief_question
2,practice_response,addition-prompt1,1,0.25,math-item-bank,,,,1+1,1+1,,,Add the numbers and choose the correct answer.,,,"0,1,3",George,math,levante-math-dev,egma-math,5000,,Addition
med-red-square,test_response,sds-prompt3,1,0.5,same-different-selection-item-bank,,-3.6418366,sm-red-triangle,Here is another picture. Which of these is the same as this one?,sds-something-same-9-test,sds_same_same,,,,1,"med-red-square,med-blue-circle",AMESlab,same-different-selection,levante-same-different-dev,same-different-selection,,9,something-same-2
tf1_33_T1_ss2_md,test_response,matrix-reasoning-prompt1,1,0.25,matrix-reasoning-item-bank,,-0.146,,tf1_33_M_ss2,tf1_33_M_ss2,matrix_set1_md_mat33,33,Choose the best pattern to fill in the blank.,,,"tf1_33_T2_ss2_md,tf1_33_T4_ss2_md,tf1_33_T3_ss2_md",MarsIB-CB2-tf1,Matrix Reasoning,levante-pattern-matching-dev,matrix-reasoning,,,Matrix Reasoning
,instructions,math-intro2,0,,math-item-bank,,,,,math-intro2,,,Here is another section. The first few are for practice.,,,,Amy,math,levante-math-dev,egma-math,,,instructions
104,test_response,multiplication-prompt2,1,0.25,math-corpus-retest,,0.3,,13x8,math_multiply_13_8,math_multiply_13_8,,Multiply the numbers.,,,"94,101,124",Zehra,math,levante-math-dev,egma-math,5000,,Multiplication
habit,test_response,vocab-item-142,1,0.25,vocab-item-bank,2.1081,,,habit,habit,vocab_word_habit,,,,,"divinghelmet,chasuble,mail",dutch,vocab,levante-vocabulary-dev,vocab,,,test
coats,test_response,ToM-scene2-q6-reality_check,2,0.5,theory-of-mind-item-bank,,,,2f_new2,ToM-scene2-q6-reality_check,tom_moral_reasoning_reality_check_2,16,Can you help Ethan find his book? Is it on the shelf or under the coats?,at_block_level,,shelf,ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reality_check_question
no,test_response,ToM-scene-16-q5-reference,,0.5,theory-of-mind-retest-B,,,,16e,ToM-scene-16-q5-reference,tom_deception_reference_2,,Is Sophie mad at James?,no,,yes,Modified ToM-battery,theory-of-mind,levante-stories-dev,theory-of-mind,,,reference_question
Dn-000-silh,test_response,mental-rotation-prompt1,1,0.5,mental-rotation-item-bank,,0.33187786,,Dn-320,Dn-320,,41,Choose the matching picture.,,,"Dp-000-silh,Dn-000-silh",2d-duck,Mental Rotation,levante-shape-rotation-dev,mental-rotation,5000,,2D
591,test_response,number-line-prompt1,0,0.25,math-corpus-retest,,-0.2,,"0,1000",math_line_591_1000,math_line_591_1000,,Choose the number that is marked on the number line.,,,"548,695,785",Zehra,math,levante-math-dev,egma-math,5000,,Number Line 4afc
