identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,pt-PT
ToM-scene1-instruct3,"theory-of-mind, Stories",So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt möchte Laura aber gern ihr Buch weiterlesen.,,,,,,Agora é hora de leitura e Madison quer seu livro.
ToM-scene1-q1-false_belief,"theory-of-mind, Stories",Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,,,,,,Onde Madison vai procurar seu livro primeiro?
chair,"theory-of-mind, Stories",Behind the chair,Detrás de la silla,Hinter dem Stuhl,,,,,,Atrás da cadeira
rug,"theory-of-mind, Stories",Under the rug,Debajo de la alfombra,Unter dem Teppich,,,,,,Embaixo do tapete
ToM-scene1-q2-reality_check,"theory-of-mind, Stories",And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,,,,,,E onde realmente está o livro dela?
ToM-scene2-instruct1,"theory-of-mind, Stories","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ",,,,,,"Esta manhã, quando chegou à escola, Ethan colocou seu livro na prateleira acima dos ganchos de casacos. O livro de Ethan é azul!"
ToM-scene2-instruct2,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ",,,,,,"E então ele saiu para brincar, viu? Aqui está Ethan brincando lá fora. E enquanto ele estava lá fora brincando, o livro de Ethan caiu de cima dos ganchos para o chão, embaixo dos casacos, viu?"
ToM-scene2-instruct3,"theory-of-mind, Stories","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.",,,,,,"Então, Hannah entra e coloca seu livro acima dos ganchos de casacos. O livro de Hannah também é azul! Ethan ainda está brincando lá fora, então ele não viu o que Hannah estava fazendo."
ToM-scene2-q1-false_belief,"theory-of-mind, Stories","Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?",,,,,,"Agora, quando Ethan entrar de fora, onde ele vai procurar seu livro primeiro?"
shelf,"theory-of-mind, Stories",On the shelf,Sobre la repisa,Oben im Regal,,,,,,Na prateleira
coats,"theory-of-mind, Stories",Under the coats,Debajo de los abrigos,Unter den Mänteln,,,,,,Embaixo dos casacos
ToM-scene2-instruct4,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!",,,,,,"Vamos ver o que ele faz. Oh, olhe, aqui está Ethan pegando este livro na prateleira. E agora Hannah vê Ethan pegando aquele livro... o livro que é de Hannah!"
ToM-scene2-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",,,,,,Como você acha que Hannah se sente em relação a Ethan pegando aquele livro?
ToM-scene2-q7-emotion_reasoning,"theory-of-mind, Stories",How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",,,,,,Como você acha que Hannah se sentiria se não tivesse visto Ethan pegando o livro?
ToM-scene2-q3-false_belief,"theory-of-mind, Stories",Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",,,,,,Ethan está sendo mal e travesso por pegar o livro de Hannah?
ToM-scene2-q4-false_belief,"theory-of-mind, Stories",Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,"Sollte Justus Ärger mit der Lehrerin bekommen, weil er Hannahs Buch genommen hat?",,,,,,Ethan deve ter problemas com o professor por pegar o livro de Hannah?
ToM-scene2-q5-reality_check,"theory-of-mind, Stories",Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Hannah helfen, ihr Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",,,,,,Você pode ajudar Hannah a encontrar seu livro? Está na prateleira ou embaixo dos casacos?
ToM-scene2-q6-reality_check,"theory-of-mind, Stories",Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,"Kannst du Justus helfen, sein Buch zu finden? Ist es auf dem Regal oder unter den Mänteln?",,,,,,Você pode ajudar Ethan a encontrar seu livro? Está na prateleira ou embaixo dos casacos?
ToM-scene3-instruct1,"theory-of-mind, Stories","Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.","Johann, Lisa und Max spielen ein Spiel. Das Spiel geht so: Ein Kind versteckt sich, malt aber einen Hinweis in den Sandkasten, damit die anderen Kinder es finden können. ",,,,,,"Joshua, Isabel e Ivan estão jogando um jogo. É assim que o jogo funciona: uma criança se esconde, mas desenha uma pista na caixa de areia para que as outras crianças possam encontrá-la."
ToM-scene3-instruct2,"theory-of-mind, Stories","So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",Max fängt an. Er malt einen Hinweis in den Sandkasten und versteckt sich dann.,,,,,,Então Ivan vai primeiro. Ele desenha esta pista na caixa de areia e depois vai se esconder.
ToM-scene3-instruct3,"theory-of-mind, Stories","Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,"Jetzt ist Johann an der Reihe, einen Hinweis zu hinterlassen und sich zu verstecken. Lisa und Max werden dann versuchen, den Hinweis zu nutzen, um ihn zu finden.",,,,,,Agora é a vez de Joshua deixar uma pista e se esconder. Isabel e Ivan então tentarão usar a pista para encontrá-lo.
ToM-scene3-instruct4,"theory-of-mind, Stories","Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.","Johann beschließt, sich hinter dem Springbrunnen zu verstecken. Er zeichnet einen Hinweis in den Sand. Er versucht, den Springbrunnen zu zeichnen, mit dem unteren Teil und dem Wasser, das aus ihm herauskommt. Aber die Zeichnung sieht stattdessen wie ein Baum aus! Dann versteckt sich Johann hinter dem Springbrunnen.",,,,,,"Joshua decide se esconder atrás da fonte. Ele desenha uma pista na areia. Ele tenta desenhar a fonte, com a parte de baixo e a água saindo dela. Mas o desenho parece uma árvore! Então Joshua se esconde atrás da fonte."
ToM-scene3-q1,"theory-of-mind, Stories",What did Joshua mean to draw?,¿Qué quería dibujar Johan?,Was wollte Johann zeichnen?,,,,,,O que Joshua quis desenhar?
fountain,"theory-of-mind, Stories",A fountain,Una fuente,Einen Springbrunnen,,,,,,Uma fonte
tree,"theory-of-mind, Stories",A tree,Un árbol,Einen Baum,,,,,,Uma árvore
ToM-scene3-q2-false_belief,"theory-of-mind, Stories","When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?","Sobald Lisa und Max diesen Hinweis sehen, wo werden sie zuerst nach Johann suchen? ",,,,,,"Quando Isabel e Ivan virem esta pista, onde procurarão Joshua primeiro?"
ToM-scene3-q2-reality_check,"theory-of-mind, Stories",Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,"Kannst du ihnen helfen, herauszufinden, wo Johann wirklich ist?",,,,,,Você pode ajudá-los a encontrar onde Joshua realmente está?
behind-fountain,"theory-of-mind, Stories",Behind the fountain,Detrás de la fuente,Hinter dem Springbrunnen,,,,,,Atrás da fonte
behind-tree,"theory-of-mind, Stories",Behind the tree,Detrás del árbol,Hinter dem Baum,,,,,,Atrás da árvore
ToM-scene3-q3-emotion_reasoning,"theory-of-mind, Stories","Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Johan y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?","Schau, Lisa und Max haben Johann gefunden und das Spiel gewonnen! Was glaubst du, wie Lisa sich fühlt, weil sie das Spiel gewonnen hat?",,,,,,"Olha, Isabel e Ivan encontraram Joshua e ganharam o jogo! Como você acha que Isabel se sente por ganhar o jogo?"
ToM-scene4-instruct1,"theory-of-mind, Stories","Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,"Jetzt sind die Spiele vorbei, und es ist Zeit, nach Hause zu gehen. Die Mutter sagt den Kindern, sie sollen alle ihre Spielsachen einsammeln. ",,,,,,Agora os jogos acabaram e está quase na hora de ir para casa. A mãe pede às crianças que encontrem todos os seus brinquedos.
ToM-scene4-instruct2,"theory-of-mind, Stories","Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.","Johann hat seinen Spielzeuglaster mit in den Park genommen, aber jetzt kann er ihn nicht mehr finden. Er sucht überall, aber er kann ihn nicht finden. ",,,,,,"Joshua trouxe seu caminhão de brinquedo para o parque, mas agora ele não consegue encontrá-lo. Ele está procurando por todos os lugares, mas não consegue achá-lo."
ToM-scene4-q1-emotion_reasoning,"theory-of-mind, Stories",How does Joshua feel about losing his truck?,¿Cómo se siente Johan por perder su camión?,Was denkt Johann über den Verlust seines Lastwagens?,,,,,,Como Joshua se sente por perder seu caminhão?
ToM-scene4-q8-emotion_reasoning,"theory-of-mind, Stories",How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,"Wie würde sich Johann fühlen, wenn er seinen Lastwagen finden würde?",,,,,,Como Joshua se sentiria se encontrasse seu caminhão?
ToM-scene4-instruct3,"theory-of-mind, Stories","Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena. ","Johann kann seinen Lastwagen nicht finden, weil Lisa vorhin, als niemand hinsah, den Spielzeuglastwagen genommen und im Sandkasten vergraben hat. ",,,,,,"Joshua não consegue encontrar seu caminhão porque, mais cedo naquele dia, quando ninguém estava olhando, Isabel pegou o caminhão de brinquedo e enterrou na caixa de areia."
ToM-scene4-instruct4,"theory-of-mind, Stories","So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.","Johann sucht also überall, aber er kann seinen Spielzeug-LKW nicht finden. Seine Mutter wird wütend auf Johann, weil er seinen Laster verloren hat.",,,,,,Então Joshua procura por todos os lados e não consegue encontrar seu caminhão de brinquedo. A mãe fica brava com Joshua porque ele perdeu o caminhão.
ToM-scene4-q2,"theory-of-mind, Stories",Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,"Ist es fair, dass Mutter böse auf Johann ist, weil er seinen Spielzeuglaster verloren hat? ",,,,,,É justo que a mãe fique brava com Joshua por perder seu caminhão?
ToM-scene4-q3,"theory-of-mind, Stories",Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,Ist Mutter böse auf Lisa? ,,,,,,A mãe está brava com Isabel?
ToM-scene4-q4-false_belief,"theory-of-mind, Stories",Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,Ist Johann böse auf Lisa? ,,,,,,Joshua está bravo com Isabel?
ToM-scene4-instruct5,"theory-of-mind, Stories","When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.","Als Lisa sieht, dass Mutter böse auf Johann ist, geht sie zum Sandkasten, gräbt den Spielzeuglaster aus und gibt ihn Johann zurück.",,,,,,"Quando Isabel vê que a mãe está brava com Joshua, ela vai até a caixa de areia, desenterra o caminhão de brinquedo e o devolve a Joshua."
ToM-scene4-q5,"theory-of-mind, Stories",Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,Ist Mutter jetzt böse auf Johann?,,,,,,A mãe está brava com Joshua agora?
ToM-scene4-q6,"theory-of-mind, Stories",Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,Ist Mutter jetzt böse auf Lisa?,,,,,,A mãe está brava com Isabel agora?
ToM-scene4-q7,"theory-of-mind, Stories",Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,Ist Johann jetzt böse auf Lisa?,,,,,,Joshua está bravo com Isabel agora?
ToM-scene4-instruct6,"theory-of-mind, Stories","Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.","Lisa sagt Johann, dass es ihr sehr leid tut, und sie gibt ihm eine große Umarmung. Johann erwidert die Umarmung, und auch Mutter schließt sich ihr an.",,,,,,Isabel diz a Joshua que está muito arrependida e dá-lhe um grande abraço. Joshua devolve o abraço e a mãe se junta a eles.
ToM-scene5-instruct1,"theory-of-mind, Stories","This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ","Das ist Katie. Heute früh hat die Mama von Katie das Haus geputzt, während Katie zugesehen hat. Mama hat drei Tassen in der Küche stehen lassen. Da ist eine kleine Tasse auf dem Tresen, eine mittelgroße Tasse auf dem Tisch und eine große Tasse, die sie ganz oben auf das Regal gestellt hat. ",,,,,,"Esta é a Katie. Mais cedo hoje, a mãe de Katie estava limpando a casa enquanto Katie assistia. A mãe deixou três copos na cozinha. Há um copo pequeno no balcão, um copo médio na mesa e um copo grande que ela colocou no alto, na prateleira."
ToM-scene5-instruct2,"theory-of-mind, Stories","Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".","Katie und Vater kommen in die Küche und Katie bittet ihren Vater, ihr eine Tasse zu geben. Katie sagt zu ihrem Vater: ""Ich möchte die große Tasse!""",,,,,,"Katie e o pai acabaram de entrar e Katie pede para o pai pegar um copo para ela. Katie diz ao pai: ""Eu quero o copo grande!"""
ToM-scene5-q1,"theory-of-mind, Stories",Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,Welche Tasse wird Papa Katie geben?,,,,,,Qual copo o pai dará a Katie?
ToM-scene5-q2-reality_check,"theory-of-mind, Stories",Which cup does Katie want?,¿Cuál taza quiere Carla?,Welche Tasse möchte Katie haben?,,,,,,Qual copo Katie quer?
small_cup,"theory-of-mind, Stories",The small cup,La taza pequeña,Die kleine Tasse,,,,,,O copo pequeno
medium_cup,"theory-of-mind, Stories",The medium sized cup,La taza mediana,Die mittelgroße Tasse,,,,,,O copo médio
large_cup,"theory-of-mind, Stories",The big cup,La taza grande,Die große Tasse,,,,,,O copo grande
ToM-scene5-q3-emotion_reasoning,"theory-of-mind, Stories",How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que ella quería?,"Wie fühlt sich Katie, wenn sie nicht die Tasse bekommt, die sie wollte?",,,,,,Como Katie se sente por não receber o copo que queria?
ToM-scene5-q4-emotion_reasoning,"theory-of-mind, Stories",How would Katie feel if she had received the cup she wanted?,¿Cómo se habría sentido Carla si recibía la taza que ella quería?,"Wie würde sich Katie fühlen, wenn sie die Tasse bekommen hätte, die sie sich gewünscht hat?",,,,,,Como Katie se sentiria se recebesse o copo que queria?
ToM-scene6-instruct1,"theory-of-mind, Stories","Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.","Sam und Maria spielen zusammen. Sie schauen nach draußen und sehen ein neues Geschäft auf der anderen Straßenseite. Maria sagt zu Sam: ""Ich werde dort neue T-shirts für uns kaufen"", und sie geht weg.",,,,,,"Sam e Maria estão brincando juntos. Eles olham para fora e veem uma nova loja do outro lado da rua. Maria diz a Sam: ""Eu vou comprar camisas novas para nós lá"", e sai."
ToM-scene6-instruct2,"theory-of-mind, Stories","Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.","Mama kommt nach Hause und erzählt Sam, dass sie gerade an dem Laden vorbeigelaufen ist. ""Verkaufen sie T-shirts?"" fragt Sam. ""Nein"", sagt Mama, ""sie verkaufen nur Schuhe"". ""Maria wird jetzt wahrscheinlich Schuhe im Laden kaufen"", sagt Sam.",,,,,,"Mamãe chega em casa e diz a Sam que acabou de passar pela loja. “Eles estão vendendo camisetas?”, pergunta Sam. “Não”, diz mamãe, “Eles estão vendendo apenas sapatos”. “Maria provavelmente agora vai comprar sapatos na loja”, diz Sam."
ToM-scene6-q1,"theory-of-mind, Stories",Does Maria know that they are selling shoes in the shop?,"	
¿María sabe que en la tienda venden zapatos?","Weiß Maria, dass in dem Laden Schuhe verkauft werden?",,,,,,Maria sabe que eles estão vendendo sapatos na loja?
ToM-scene6-instruct3,"theory-of-mind, Stories","Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.","Maria ist im Laden angekommen. ""Ich möchte gerne T-shirts kaufen"", sagt sie. ""Wir haben nur noch Socken"", sagt der Ladenbesitzer. Da Maria auch Socken braucht, beschließt sie, Socken zu kaufen.",,,,,,"Maria chegou à loja. “Eu gostaria de comprar camisetas”, ela diz. “Tudo que nos resta são meias”, diz o lojista. Como Maria também precisa de meias, ela decide pegar algumas."
ToM-scene6-q2,"theory-of-mind, Stories",Does Sam know that Maria bought some socks?,¿Sam sabe que María ha comprado medias?,"Weiß Sam, dass Maria ein paar Socken gekauft hat?",,,,,,Sam sabe que Maria comprou algumas meias?
ToM-scene6-q3,"theory-of-mind, Stories",What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,"Was glaubt Sam, was sie in dem Laden verkaufen?",,,,,,O que Sam acha que eles estão vendendo na loja?
shoes,"theory-of-mind, Stories",Shoes,Zapatos,Schuhe,,,,,,Sapatos
socks,"theory-of-mind, Stories",Socks,Medias,Socken,,,,,,Meias
shirts,"theory-of-mind, Stories",Shirts,Camisetas,T-Shirts,,,,,,Camisetas
ToM-scene6-instruct4,"theory-of-mind, Stories","On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".","Auf dem Rückweg trifft Maria ihren Vater. Sie erzählt ihrem Vater: ""Ich habe gerade ein paar Socken gekauft. Ich werde sie mit meinem Bruder Sam teilen. Es ist eine Überraschung.""
""Das ist nett von dir"", sagt Papa. Dann fragt er Maria: ""Weiß Sam, was du ihm gekauft hast?""",,,,,,"No caminho de volta, Maria encontra o pai. Ela diz ao pai: “Acabei de comprar algumas meias. Vou compartilhá-las com meu irmão Sam. É uma surpresa.” “Isso é muito gentil da sua parte”, diz o pai. Então ele pergunta a Maria: “Sam sabe o que você comprou para ele?”"
ToM-scene6-q4,"theory-of-mind, Stories",What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,,,,,,O que Maria diz ao pai?
ToM-scene6-instruct5,"theory-of-mind, Stories",Then Dad asks: “What does Sam think they are selling at the shop?”,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".","Dann fragt Papa: ""Was glaubt Sam, was sie in dem Laden verkaufen?""",,,,,,Então o pai pergunta: “O que Sam acha que eles estão vendendo na loja?”
ToM-scene6-q5,"theory-of-mind, Stories",What does Maria tell Dad?,¿Qué le dice María a Papá?,Was sagt Maria zu Papa?,,,,,,O que Maria diz ao papai?
ToM-scene6-q6,"theory-of-mind, Stories",What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,"Was glaubt Sam, was sie in dem Laden verkaufen?",,,,,,O que Sam acha que eles estão vendendo na loja?
ToM-scene6-instruct6,"theory-of-mind, Stories",Sam is very happy to get his new socks.,Sam está muy feliz por recibir sus medias nuevas.,Sam freut sich sehr über seine neuen Socken.,,,,,,Sam está muito feliz por receber suas novas meias.
hostile-attribution-scene1-instruct1,"theory-of-mind, Stories",Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,"Stell dir vor, du gehst zur Schule und trägst deine neuen Schuhe. Du magst deine neuen Schuhe sehr und heute ist der erste Tag, an dem du sie trägst.",,,,,,Imagine que você está indo para a escola e está usando seus sapatos novos. Você realmente gosta dos seus sapatos novos e este é o primeiro dia que você os está usando.
hostile-attribution-scene1-instruct2,"theory-of-mind, Stories","Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te choca por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro",Plötzlich wirst du von einem Jungen von hinten angerempelt. Du stolperst und fällst in eine Schlammpfütze und deine neuen Schuhe sind schlammig.,,,,,,"De repente, você é esbarrado por um menino por trás. Você tropeça e cai em uma poça de lama e seus sapatos novos ficam enlameados."
hostile-attribution-scene1-q1,"theory-of-mind, Stories",Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,"Glaubst du, dass der Junge dich absichtlich oder aus Versehen angerempelt hat?",,,,,,Você acha que o menino te esbarrou de propósito ou por acidente?
hostile-attribution-scene1-q2,"theory-of-mind, Stories",Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,,,,,,Agora escolha uma das três opções como a que você faria:
hostile-attribution-scene1-q2-ans1,"theory-of-mind, Stories",clean up my shoes,limpiar mis zapatos,meine Schuhe sauber machen,,,,,,limpar meus sapatos
hostile-attribution-scene1-q2-ans2,"theory-of-mind, Stories",walk away from the boy,alejarme del chico,sich von dem Jungen entfernen,,,,,,afastar-se do menino
hostile-attribution-scene1-q2-ans3,"theory-of-mind, Stories",push the boy in the mud,empujar al chico al barro,den Jungen in den Schlamm stoßen,,,,,,empurrar o menino para a lama
hostile-attribution-scene2-instruct1,"theory-of-mind, Stories","Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.","Stell dir vor, du bist auf einem Spielplatz. Du und einige andere Kinder rennen um die Wette. Ein Junge steht am Rand und spielt mit einem Basketball.",,,,,,"Imagine que você está no playground. Você e algumas outras crianças estão correndo. Um menino está de pé ao lado, quicando uma bola de basquete."
hostile-attribution-scene2-instruct2,"theory-of-mind, Stories","The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",Dann rollt der Ball von dem Jungen unter deine Füße und du fällst hin. Du schürfst dir das Knie auf und ein anderer gewinnt das Rennen.,,,,,,"A próxima coisa que você sabe, o menino quicou a bola e ela rolou para debaixo dos seus pés, fazendo você cair. Você arranha o joelho e outra pessoa ganha a corrida."
hostile-attribution-scene2-q1,"theory-of-mind, Stories",Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,"Glaubst du, dass der Junge dich mit Absicht oder aus Versehen zu Boden gestoßen hat?",,,,,,Você acha que o menino te fez cair de propósito ou por acidente?
hostile-attribution-scene2-q2,"theory-of-mind, Stories",Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,Was würdest du tun? Wähle eine der drei Möglichkeiten aus.,,,,,,Agora escolha uma das três opções como a que você faria:
hostile-attribution-scene2-q2-ans1,"theory-of-mind, Stories",go to another area of the playground,ir a otra zona del patio de recreo,in einen anderen Bereich des Spielplatzes gehen,,,,,,ir para outra área do playground
hostile-attribution-scene2-q2-ans2,"theory-of-mind, Stories",say something mean to him,insultar al niño,etwas Gemeines zu ihm sagen,,,,,,dizer algo ruim para ele
