identifier,labels,text,es-CO,de,fr-CA,nl,de-CH,es-AR,en-GH,isHidden
trog-item-58,"trog, Sentence Understanding",the cat is big but not black,el gato es grande pero no es negro,"die Katze ist groß, aber nicht schwarz",the cat is big but not black,the cat is big but not black,"die Katze ist groß, aber nicht schwarz",the cat is big but not black,the cat is big but not black,
trog-item-59,"trog, Sentence Understanding",the horse but not the boy is standing,el caballo está parado pero el niño no,"das Pferd, aber nicht der Junge, steht",the horse but not the boy is standing,the horse but not the boy is standing,"das Pferd, aber nicht der Junge, steht",the horse but not the boy is standing,the horse but not the boy is standing,
trog-item-60,"trog, Sentence Understanding",the boy is sitting but not eating,"el niño está sentado, pero no está comiendo","der Junge sitzt, aber er isst nichts",the boy is sitting but not eating,the boy is sitting but not eating,"der Junge sitzt, aber er isst nichts",the boy is sitting but not eating,the boy is sitting but not eating,
trog-item-61,"trog, Sentence Understanding",the pencil is above the flower,el lápiz está arriba de la flor,der Bleistift ist über der Blume,the pencil is above the flower,the pencil is above the flower,der Bleistift ist über der Blume,the pencil is above the flower,the pencil is above the flower,
trog-item-62,"trog, Sentence Understanding",the comb is below the spoon,el peine está debajo de la cuchara,der Kamm ist unter dem Löffel,the comb is below the spoon,the comb is below the spoon,der Kamm ist unter dem Löffel,the comb is below the spoon,the comb is below the spoon,
trog-item-63,"trog, Sentence Understanding",the star is above the circle,la estrella está arriba del círculo,der Stern ist über dem Kreis,the star is above the circle,the star is above the circle,der Stern ist über dem Kreis,the star is above the circle,the star is above the circle,
trog-item-64,"trog, Sentence Understanding",the square is below the star,el cuadrado está debajo de la estrella,das Quadrat ist unter dem Stern,the square is below the star,the square is below the star,das Quadrat ist unter dem Stern,the square is below the star,the square is below the star,
trog-item-65,"trog, Sentence Understanding",not only the bird but also the flower is blue,"no sólo el pájaro, también la flor es azul.","nicht nur der Vogel, sondern auch die Blume ist blau",not only the bird but also the flower is blue,not only the bird but also the flower is blue,"nicht nur der Vogel, sondern auch die Blume ist blau",not only the bird but also the flower is blue,not only the bird but also the flower is blue,
trog-item-66,"trog, Sentence Understanding",the box is not only big but also blue,"la caja no sólo es grande, sino también azul","die Box ist nicht nur groß, sondern auch blau",the box is not only big but also blue,the box is not only big but also blue,"die Box ist nicht nur groß, sondern auch blau",the box is not only big but also blue,the box is not only big but also blue,
trog-item-67,"trog, Sentence Understanding",not only the girl but also the cat is sitting,"no sólo la niña, también el gato está sentado.","nicht nur das Mädchen, sondern auch die Katze sitzt",not only the girl but also the cat is sitting,not only the girl but also the cat is sitting,"nicht nur das Mädchen, sondern auch die Katze sitzt",not only the girl but also the cat is sitting,not only the girl but also the cat is sitting,
trog-item-68,"trog, Sentence Understanding",the girl has not only food but also a drink,"la niña no solo tiene comida, sino también bebida","das Mädchen hat nicht nur Essen, sondern auch ein Getränk",the girl has not only food but also a drink,the girl has not only food but also a drink,"das Mädchen hat nicht nur Essen, sondern auch ein Getränk",the girl has not only food but also a drink,the girl has not only food but also a drink,
trog-item-69,"trog, Sentence Understanding",the pencil is on the book that is yellow,el lápiz está encima del libro que es amarillo,"der Bleistift ist auf dem Buch, das gelb ist",the pencil is on the book that is yellow,the pencil is on the book that is yellow,"der Bleistift ist auf dem Buch, das gelb ist",the pencil is on the book that is yellow,the pencil is on the book that is yellow,
trog-item-70,"trog, Sentence Understanding",the girl chases the dog that is big,la niña persigue al perro que es grande,"das Mädchen jagt den Hund, der groß ist",the girl chases the dog that is big,the girl chases the dog that is big,"das Mädchen jagt den Hund, der groß ist",the girl chases the dog that is big,the girl chases the dog that is big,
trog-item-71,"trog, Sentence Understanding",the square is in the star that is blue,el cuadrado está en la estrella que es azul,"das Quadrat ist in dem Stern, der blau ist",the square is in the star that is blue,the square is in the star that is blue,"das Quadrat ist in dem Stern, der blau ist",the square is in the star that is blue,the square is in the star that is blue,
trog-item-72,"trog, Sentence Understanding",the dog chases the horse that is brown,el perro persigue al caballo que es café,"der Hund jagt das Pferd, das braun ist",the dog chases the horse that is brown,the dog chases the horse that is brown,"der Hund jagt das Pferd, das braun ist",the dog chases the horse that is brown,the dog chases the horse that is brown,
trog-item-73,"trog, Sentence Understanding",neither the dog nor the ball is brown,ni el perro ni la pelota son cafés,weder der Hund noch der Ball sind braun,neither the dog nor the ball is brown,neither the dog nor the ball is brown,weder der Hund noch der Ball sind braun,neither the dog nor the ball is brown,neither the dog nor the ball is brown,
trog-item-74,"trog, Sentence Understanding",the pencil is neither long nor red,el lápiz no es largo ni rojo,der Bleistift ist weder lang noch rot,the pencil is neither long nor red,the pencil is neither long nor red,der Bleistift ist weder lang noch rot,the pencil is neither long nor red,the pencil is neither long nor red,
trog-item-75,"trog, Sentence Understanding",neither the boy nor the horse is running,ni el niño ni el caballo están corriendo,weder der Junge noch das Pferd rennt,neither the boy nor the horse is running,neither the boy nor the horse is running,weder der Junge noch das Pferd rennt,neither the boy nor the horse is running,neither the boy nor the horse is running,
trog-item-76,"trog, Sentence Understanding",the boy has neither hat nor shoes,el niño no tiene ni sombrero ni zapatos,der Junge hat weder Hut noch Schuhe,the boy has neither hat nor shoes,the boy has neither hat nor shoes,der Junge hat weder Hut noch Schuhe,the boy has neither hat nor shoes,the boy has neither hat nor shoes,
trog-item-77,"trog, Sentence Understanding",the book the pencil is on is red,el libro encima del que está el lápiz es rojo,"das Buch, auf dem der Bleistift liegt, ist rot",the book the pencil is on is red,the book the pencil is on is red,"das Buch, auf dem der Bleistift liegt, ist rot",the book the pencil is on is red,the book the pencil is on is red,
trog-item-78,"trog, Sentence Understanding",the cat the cow chases is black,el gato que la vaca persigue es negro,"die Katze, die die Kuh jagt, ist schwarz",the cat the cow chases is black,the cat the cow chases is black,"die Katze, die die Kuh jagt, ist schwarz",the cat the cow chases is black,the cat the cow chases is black,
trog-item-79,"trog, Sentence Understanding",the circle the star is in is red,"el círculo, en el que está la estrella, es rojo","der Kreis, in dem sich der Stern befindet, ist rot",the circle the star is in is red,the circle the star is in is red,"der Kreis, in dem sich der Stern befindet, ist rot",the circle the star is in is red,the circle the star is in is red,
trog-item-80,"trog, Sentence Understanding",the boy the dog chases is big,el niño que el perro persigue es grande,"der Junge, den der Hund jagt, ist groß",the boy the dog chases is big,the boy the dog chases is big,"der Junge, den der Hund jagt, ist groß",the boy the dog chases is big,the boy the dog chases is big,
trog-item-81,"trog, Sentence Understanding",the horse drank water by the barn and the sheep ate grass by the fence,"el caballo bebía agua junto al granero, y la oveja comía pasto junto a la cerca",Das Pferd trank Wasser bei der Scheune und das Schaf fraß Gras am Zaun.,the horse drank water by the barn and the sheep ate grass by the fence,the horse drank water by the barn and the sheep ate grass by the fence,Das Pferd trank Wasser bei der Scheune und das Schaf fraß Gras am Zaun.,the horse drank water by the barn and the sheep ate grass by the fence,the horse drank water by the barn and the sheep ate grass by the fence,
trog-item-82,"trog, Sentence Understanding",the student opened the notebook and drew a tree,el estudiante abrió el cuaderno y dibujó un árbol,der Schüler öffnete das Heft und zeichnete einen Baum,the student opened the notebook and drew a tree,the student opened the notebook and drew a tree,der Schüler öffnete das Heft und zeichnete einen Baum,the student opened the notebook and drew a tree,the student opened the notebook and drew a tree,
trog-item-83,"trog, Sentence Understanding",we will have a picnic in the park if it is sunny,haremos un picnic en el parque si hace sol,"Wenn es sonnig ist, werden wir im Park ein Picknick machen.",we will have a picnic in the park if it is sunny,we will have a picnic in the park if it is sunny,"Wenn es sonnig ist, werden wir im Park ein Picknick machen.",we will have a picnic in the park if it is sunny,we will have a picnic in the park if it is sunny,
trog-item-84,"trog, Sentence Understanding",he found his keys under the couch with the pillows,encontró sus llaves debajo del sofá con cojines,er fand seine Schlüssel unter der Couch mit den Kissen,he found his keys under the couch with the pillows,he found his keys under the couch with the pillows,er fand seine Schlüssel unter der Couch mit den Kissen,he found his keys under the couch with the pillows,he found his keys under the couch with the pillows,
trog-item-85,"trog, Sentence Understanding",she is the gardener who wears the hat that has a flower,ella es la jardinera que usa un sombrero que tiene una flor,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt",she is the gardener who wears the hat that has a flower,she is the gardener who wears the hat that has a flower,"sie ist die Gärtnerin, die den Hut mit einer Blume trägt",she is the gardener who wears the hat that has a flower,she is the gardener who wears the hat that has a flower,
trog-item-86,"trog, Sentence Understanding",She tripped on a rock and dropped her books.,Ella tropezó con una piedra y dejo caer sus libros.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,She tripped on a rock and dropped her books.,She tripped on a rock and dropped her books.,Sie stolperte über einen Stein und ließ ihre Bücher fallen.,She tripped on a rock and dropped her books.,She tripped on a rock and dropped her books.,
trog-item-87,"trog, Sentence Understanding",The teacher will give the students cake if they stand in a line.,"La maestra va a darles pastel a los estudiantes, si se forman en fila.","Die Lehrerin gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.",The teacher will give the students cake if they stand in a line.,The teacher will give the students cake if they stand in a line.,"Die Lehrerin gibt den Schülern Kuchen, wenn sie in einer Reihe stehen.",The teacher will give the students cake if they stand in a line.,The teacher will give the students cake if they stand in a line.,
trog-item-88,"trog, Sentence Understanding",We will dance together if there is music playing.,Bailaremos juntos si hay música sonando.,"Wir tanzen zusammen, wenn Musik läuft.",We will dance together if there is music playing.,We will dance together if there is music playing.,"Wir tanzen zusammen, wenn Musik läuft.",We will dance together if there is music playing.,We will dance together if there is music playing.,
trog-item-89,"trog, Sentence Understanding","Although it is hot outside, I am wearing a jacket with a hood.","Aunque hace calor afuera, estoy usando una chaqueta con capucha.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","Although it is hot outside, I am wearing a jacket with a hood.","Although it is hot outside, I am wearing a jacket with a hood.","Obwohl es draußen heiß ist, trage ich eine Jacke mit Kapuze.","Although it is hot outside, I am wearing a jacket with a hood.","Although it is hot outside, I am wearing a jacket with a hood.",
trog-item-90,"trog, Sentence Understanding","He likes swimming. However, he chose to play soccer with his friends.","Le gusta nadar. Sin embargo, elijió jugar fútbol con sus amigos.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.","He likes swimming. However, he chose to play soccer with his friends.","He likes swimming. However, he chose to play soccer with his friends.","Er schwimmt gerne, aber er hat sich entschieden, mit seinen Freunden Fußball zu spielen.","He likes swimming. However, he chose to play soccer with his friends.","He likes swimming. However, he chose to play soccer with his friends.",
trog-item-91,"trog, Sentence Understanding","Despite the noise in the classroom, she focused on reading her notebook.","A pesar del ruido en el salón, ella se concentró en leer su cuaderno.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"Despite the noise in the classroom, she focused on reading her notebook.","Despite the noise in the classroom, she focused on reading her notebook.",Trotz des Lärms im Klassenzimmer konzentrierte sie sich auf das Lesen ihres Heftes.,"Despite the noise in the classroom, she focused on reading her notebook.","Despite the noise in the classroom, she focused on reading her notebook.",
trog-item-92,"trog, Sentence Understanding",He wore the clown's hat despite its large size.,Él usó el sombrero de payaso a pesar de su gran tamaño.,"Er trug die Mütze vom Clown, obwohl sie so groß ist.",He wore the clown's hat despite its large size.,He wore the clown's hat despite its large size.,"Er trug die Mütze vom Clown, obwohl sie so groß ist.",He wore the clown's hat despite its large size.,He wore the clown's hat despite its large size.,
trog-item-93,"trog, Sentence Understanding",The duck following the turtle is walking across the bridge.,El pato que sigue a la tortuga está caminando por el puente.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.",The duck following the turtle is walking across the bridge.,The duck following the turtle is walking across the bridge.,"Die Ente, die der Schildkröte folgt, geht über die Brücke.",The duck following the turtle is walking across the bridge.,The duck following the turtle is walking across the bridge.,
trog-item-94,"trog, Sentence Understanding",Bumping the table with my foot caused a book to fall.,Por golpear la mesa con mi pie se cayó un libro,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,Bumping the table with my foot caused a book to fall.,Bumping the table with my foot caused a book to fall.,Beim Anstoßen des Tisches mit meinem Fuß ist ein Buch heruntergefallen.,Bumping the table with my foot caused a book to fall.,Bumping the table with my foot caused a book to fall.,
trog-item-95,"trog, Sentence Understanding",The person chases the dog that is big.,La persona persigue al perro que es grande.,"Die Person jagt den Hund, der groß ist.",The person chases the dog that is big.,The person chases the dog that is big.,"Die Person jagt den Hund, der groß ist.",The person chases the dog that is big.,The person chases the dog that is big.,
trog-item-96,"trog, Sentence Understanding",The girl wearing a backpack was shown a flower by her friend.,A la niña que llevaba el morral su amiga le mostró una flor.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.",The girl wearing a backpack was shown a flower by her friend.,The girl wearing a backpack was shown a flower by her friend.,"Dem Mädchen, das einen Rucksack trägt, wurde von seiner Freundin eine Blume gezeigt.",The girl wearing a backpack was shown a flower by her friend.,The girl wearing a backpack was shown a flower by her friend.,
trog-item-97,"trog, Sentence Understanding","The kids cleaned the room, but forgot to put away the train.","Los niños limpiaron la habitación, pero olvidaron guardar el tren.","Die Kinder haben das Zimmer aufgeräumt, aber haben vergessen, die Eisenbahn wegzustellen.","The kids cleaned the room, but forgot to put away the train.","The kids cleaned the room, but forgot to put away the train.","Die Kinder haben das Zimmer aufgeräumt, aber haben vergessen, die Eisenbahn wegzustellen.","The kids cleaned the room, but forgot to put away the train.","The kids cleaned the room, but forgot to put away the train.",
trog-item-98,"trog, Sentence Understanding",The monkey neither ate the banana nor swung on the vine.,El mono no se comió el plátano ni se columpió en la liana.,Der Affe hat weder die Banane gegessen noch sich an der Liane geschwungen.,The monkey neither ate the banana nor swung on the vine.,The monkey neither ate the banana nor swung on the vine.,Der Affe hat weder die Banane gegessen noch sich an der Liane geschwungen.,The monkey neither ate the banana nor swung on the vine.,The monkey neither ate the banana nor swung on the vine.,
trog-item-99,"trog, Sentence Understanding","Her mom said it would be sunny. However, it rained heavily.","Su madre dijo que haría sol. Sin embargo, llovió muchisimo.","Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark.","Her mom said it would be sunny. However, it rained heavily.","Her mom said it would be sunny. However, it rained heavily.","Ihre Mutter sagte, es würde sonnig sein. Aber es regnete stark.","Her mom said it would be sunny. However, it rained heavily.","Her mom said it would be sunny. However, it rained heavily.",
trog-item-100,"trog, Sentence Understanding",The plane that is gray is above the clouds.,El avión que es gris está  arriba de las nubes,"Das Flugzeug, das grau ist, befindet sich über den Wolken.",The plane that is gray is above the clouds.,The plane that is gray is above the clouds.,"Das Flugzeug, das grau ist, befindet sich über den Wolken.",The plane that is gray is above the clouds.,The plane that is gray is above the clouds.,
trog-item-101,"trog, Sentence Understanding",The fish swim beneath a whale and a sea turtle.,Los peces nadan debajo de una ballena y una tortuga marina.,Die Fische schwimmen unter einem Wal und einer Meeresschildkröte.,The fish swim beneath a whale and a sea turtle.,The fish swim beneath a whale and a sea turtle.,Die Fische schwimmen unter einem Wal und einer Meeresschildkröte.,The fish swim beneath a whale and a sea turtle.,The fish swim beneath a whale and a sea turtle.,
trog-item-102,"trog, Sentence Understanding",The car that the truck followed is driving toward the tunnel.,El coche al que siguió el camión va hacia el túnel.,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu.",The car that the truck followed is driving toward the tunnel.,The car that the truck followed is driving toward the tunnel.,"Das Auto, das dem der Lastwagen gefolgt ist, fährt auf den Tunnel zu.",The car that the truck followed is driving toward the tunnel.,The car that the truck followed is driving toward the tunnel.,
trog-item-103,"trog, Sentence Understanding",Instead of doing homework she did a puzzle in her room.,"En vez de hacer las tareas, ella hizo un rompecabezas en su habitación. ","Anstatt Hausaufgaben zu machen, hat sie in ihrem Zimmer ein Puzzle gemacht.",Instead of doing homework she did a puzzle in her room.,Instead of doing homework she did a puzzle in her room.,"Anstatt Hausaufgaben zu machen, hat sie in ihrem Zimmer ein Puzzle gemacht.",Instead of doing homework she did a puzzle in her room.,Instead of doing homework she did a puzzle in her room.,
yes,"theory-of-mind, Stories",yes,sí,ja,yes,yes,ja,yes,yes,
no,"theory-of-mind, Stories",no,no,nein,no,no,nein,no,no,
happy,"theory-of-mind, Stories",happy,feliz,glücklich,happy,happy,glücklich,happy,happy,
sad,"theory-of-mind, Stories",sad,triste,traurig,sad,sad,traurig,sad,sad,
angry,"theory-of-mind, Stories",angry,enojado,wütend,angry,angry,wütend,angry,angry,
scared,"theory-of-mind, Stories",scared,asustado,ängstlich,scared,scared,ängstlich,scared,scared,
calm,"theory-of-mind, Stories",calm,tranquilo,ruhig,calm,calm,ruhig,calm,calm,
proud,"theory-of-mind, Stories",proud,orgulloso,stolz,proud,proud,stolz,proud,proud,
disgusted,"theory-of-mind, Stories",disgusted,asqueado,angeekelt,disgusted,disgusted,angeekelt,disgusted,disgusted,
surprised,"theory-of-mind, Stories",surprised,sorprendido,überrascht,surprised,surprised,überrascht,surprised,surprised,
ToM-intro,"theory-of-mind, Stories","This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Este es el Juego de las historias. En este juego vas a escuchar algunas historias y luego vas a responder preguntas sobre esas historias.,Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.","This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",Das ist das Geschichten-Spiel. In diesem Spiel wirst du Geschichten hören und dann kannst du ein paar Fragen dazu beantworten.,"This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.","This is the Stories Game. In this game, you will listen to some stories. Then you will answer questions about the stories.",
ToM-transition,"theory-of-mind, Stories",Nice work! Here is a new story.,¡Bien hecho! Ahora vamos con una nueva historia.,Sehr gut! Hier ist eine neue Geschichte.,Nice work! Here is a new story.,Nice work! Here is a new story.,Sehr gut! Hier ist eine neue Geschichte.,Nice work! Here is a new story.,Nice work! Here is a new story.,
ToM-scene1-instruct1,"theory-of-mind, Stories","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Esta es Marisol. Esta mañana, Marisol puso su libro detrás de la silla, porque no quería que nadie lo encontrara.","Das ist Laura. Heute Morgen hat Laura ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Das ist Laura. Heute Morgen hat Laura ihr Buch hinter den Stuhl gelegt, weil sie nicht wollte, dass es jemand findet. ","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ","Here is Madison. This morning, Madison put her book behind the chair, because she didn’t want anyone to find it. ",
ToM-scene1-instruct2,"theory-of-mind, Stories","But when Madison was outside playing, someone did find it! And hid it under the rug. ","Pero cuando Marisol estaba afuera jugando, ¡alguien lo encontró! Y lo escondió debajo de la alfombra.","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ","But when Madison was outside playing, someone did find it! And hid it under the rug. ","But when Madison was outside playing, someone did find it! And hid it under the rug. ","Aber als Laura draußen gespielt hat, hat es jemand gefunden und unter dem Teppich versteckt. ","But when Madison was outside playing, someone did find it! And hid it under the rug. ","But when Madison was outside playing, someone did find it! And hid it under the rug. ",
ToM-scene1-instruct3,"theory-of-mind, Stories",So now it’s reading time and Madison wants her book.,"Ahora, es el momento de leer y Marisol quiere su libro.",Jetzt möchte Laura aber gern ihr Buch weiterlesen.,So now it’s reading time and Madison wants her book.,So now it’s reading time and Madison wants her book.,Jetzt möchte Laura aber gern ihr Buch weiterlesen.,So now it’s reading time and Madison wants her book.,So now it’s reading time and Madison wants her book.,
ToM-scene1-q1-false_belief,"theory-of-mind, Stories",Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,Wo wird Laura zuerst nach ihrem Buch suchen? ,Where will Madison look first for her book?,Where will Madison look first for her book?,Wo wird Laura zuerst nach ihrem Buch suchen? ,Where will Madison look first for her book?,Where will Madison look first for her book?,
chair,"theory-of-mind, Stories",Behind the chair,Detrás de la silla,Hinter dem Stuhl,Behind the chair,Behind the chair,Hinter dem Stuhl,Behind the chair,Behind the chair,
rug,"theory-of-mind, Stories",Under the rug,Debajo de la alfombra,Unter dem Teppich,Under the rug,Under the rug,Unter dem Teppich,Under the rug,Under the rug,
ToM-scene1-q2-reality_check,"theory-of-mind, Stories",And where is her book really?,¿Y dónde está realmente su libro?,Und wo ist ihr Buch wirklich?,And where is her book really?,And where is her book really?,Und wo ist ihr Buch wirklich?,And where is her book really?,And where is her book really?,
ToM-scene2-instruct1,"theory-of-mind, Stories","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Heute Morgen, als er in die Schule kam, hat Justus sein Buch auf die Garderobe über den Mänteln gelegt. Das Buch von Justus ist blau! ","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ",
ToM-scene2-instruct2,"theory-of-mind, Stories","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Und dann ist er nach draußen gegangen, um zu spielen, siehst du? Hier ist Justus beim Spielen draußen. Und während er draußen spielte, fiel das Buch von Justus von der Garderobe auf den Boden unter die Mäntel, siehst du? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ",
ToM-scene2-instruct3,"theory-of-mind, Stories","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Dann kommt Hannah herein und legt ihr Buch auf die Garderobe über den Mänteln. Hannahs Buch ist auch blau! Justus ist noch draußen und spielt, deshalb hat er nicht gesehen, was Hannah gemacht hat.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.",
ToM-scene2-q1-false_belief,"theory-of-mind, Stories","Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Now, when Ethan comes in from outside, where will he look first for his book?","Now, when Ethan comes in from outside, where will he look first for his book?","Wenn Justus nun von draußen hereinkommt, wo wird er zuerst nach seinem Buch suchen?","Now, when Ethan comes in from outside, where will he look first for his book?","Now, when Ethan comes in from outside, where will he look first for his book?",
shelf,"theory-of-mind, Stories",On the shelf,Sobre la repisa,Oben im Regal,On the shelf,On the shelf,Oben im Regal,On the shelf,On the shelf,
coats,"theory-of-mind, Stories",Under the coats,Debajo de los abrigos,Unter den Mänteln,Under the coats,Under the coats,Unter den Mänteln,Under the coats,Under the coats,
ToM-scene2-instruct4,"theory-of-mind, Stories","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Mal sehen, was er macht. Oh, sieh mal, da ist Justus. Er greift nach dem Buch oben im Regal. Und jetzt sieht Hannah, wie Justus nach dem Buch greift... dem Buch, das Hannah gehört!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!",
ToM-scene2-q2-emotion_reasoning,"theory-of-mind, Stories",How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",How do you think Hannah feels about Ethan reaching for that book? ,How do you think Hannah feels about Ethan reaching for that book? ,"Was glaubst du, was Hannah davon hält, dass Justus nach dem Buch greift? ",How do you think Hannah feels about Ethan reaching for that book? ,How do you think Hannah feels about Ethan reaching for that book? ,
ToM-scene2-q7-emotion_reasoning,"theory-of-mind, Stories",How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",How do you think Hannah would feel if she had not seen Ethan reaching for the book?,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,"Wie würde sich Hannah wohl fühlen, wenn sie nicht gesehen hätte, wie Justus nach dem Buch greift?",How do you think Hannah would feel if she had not seen Ethan reaching for the book?,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,
ToM-scene2-q3-false_belief,"theory-of-mind, Stories",Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",Is Ethan being mean and naughty for taking Hannah's book?,Is Ethan being mean and naughty for taking Hannah's book?,"Ist es gemein und frech von Justus, dass er Hannahs Buch genommen hat?",Is Ethan being mean and naughty for taking Hannah's book?,Is Ethan being mean and naughty for taking Hannah's book?,
