,item_id,labels,en-US,es-CO,de-DE,fr-CA,nl-NL,context,en-US.1
191,ToM-scene1-q1-false_belief,theory-of-mind,Where will Madison look first for her book?,¿Dónde buscará Marisol su libro primero?,,,,"ToM-scene1-q1-false_belief
Final es-co & de translation review complete",
192,chair,theory-of-mind,Behind the chair,Detrás de la silla,,,,"chair
Final es-co & de translation review complete",
193,rug,theory-of-mind,Under the rug,Debajo de la alfombra,,,,"rug
Final es-co & de translation review complete",
194,ToM-scene1-q2-reality_check,theory-of-mind,And where is her book really?,¿Y dónde está realmente su libro?,,,,"ToM-scene1-q2-reality_check
Final es-co & de translation review complete",
195,ToM-scene2-instruct1,theory-of-mind,"This morning when he came to school, Ethan put his book on the shelf above the coat hooks. Ethan’s book is blue! ","Esta mañana, cuando vino a la escuela, Elián puso su libro sobre la repisa encima de los colgaderos de abrigos. El libro de Elián es azul.",,,,"ToM-scene2-instruct1
Final es-co & de translation review complete",
196,ToM-scene2-instruct2,theory-of-mind,"And then he went outside to play, see? Here’s Ethan playing outside. And while he was outside playing, Ethan’s book fell down from above the coat hooks onto the floor under the coats, see? ","Y luego salió a jugar, ¿ves? Aquí está Elián jugando afuera. Mientras Elián estaba afuera jugando, su libro se cayó de la repisa y quedó en el piso, debajo de los abrigos, ¿ves?",,,,"ToM-scene2-instruct2
Final es-co & de translation review complete",
197,ToM-scene2-instruct3,theory-of-mind,"Then Hannah comes in and Hannah puts her book up above the coat hooks. Hannah's book is also blue! Ethan is still outside playing, so he didn't see what Hannah was doing.","Luego entró Ana y puso su libro sobre la repisa encima de los colgaderos. ¡El libro de Ana también es azul! Como Elián todavía está afuera jugando, no vio lo que hizo Ana.",,,,"ToM-scene2-instruct3
Final es-co & de translation review complete",
198,ToM-scene2-q1-false_belief,theory-of-mind,"Now, when Ethan comes in from outside, where will he look first for his book?","Entonces, cuando Elián regrese, ¿dónde buscará primero su libro?",,,,"ToM-scene2-q1-false_belief
Final es-co & de translation review complete",
199,shelf,theory-of-mind,On the shelf,Sobre la repisa,,,,"shelf
Final es-co & de translation review complete",
200,coats,theory-of-mind,Under the coats,Debajo de los abrigos,,,,"coats
Final es-co & de translation review complete",
201,ToM-scene2-instruct4,theory-of-mind,"Let’s see what he does. Oh look, here is Ethan reaching for this book up on the shelf. And now Hannah sees Ethan reaching for that book... the book that is Hannah's!","Veamos lo que Elián hace. Oh, mira, Elián está cogiendo el libro que está sobre la repisa. Y ahora Ana ve a Elián cogiendo ese libro... ¡el libro que es de Ana!",,,,"ToM-scene2-instruct4
Final es-co & de translation review complete",
202,ToM-scene2-q2-emotion_reasoning,theory-of-mind,How do you think Hannah feels about Ethan reaching for that book? ,¿Cómo crees que se siente Ana cuando Elián coge ese libro?,,,,"ToM-scene2-q2-emotion_reasoning
Final es-co & de translation review complete",
203,ToM-scene2-q7-emotion_reasoning,theory-of-mind,How do you think Hannah would feel if she had not seen Ethan reaching for the book?,¿Cómo crees que se sentiría Ana si no hubiera visto a Elián coger el libro?,,,,"ToM-scene2-q7-emotion_reasoning
",
204,ToM-scene2-q3-false_belief,theory-of-mind,Is Ethan being mean and naughty for taking Hannah's book?,¿Elián está siendo malo y travieso al tomar el libro de Ana?,,,,"ToM-scene2-q3-false_belief
Final es-co & de translation review complete",
205,ToM-scene2-q4-false_belief,theory-of-mind,Should Ethan get in trouble with the teacher for taking Hannah's book?,¿Debería Elián estar en problemas con el maestro por tomar el libro de Ana?,,,,"ToM-scene2-q4-false_belief
Final es-co & de translation review complete",
206,ToM-scene2-q5-reality_check,theory-of-mind,Can you help Hannah find her book? Is it on the shelf or under the coats?,¿Puedes ayudar a Ana a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,,,"ToM-scene2-q5-reality_check
Final es-co & de translation review complete",
207,ToM-scene2-q6-reality_check,theory-of-mind,Can you help Ethan find his book? Is it on the shelf or under the coats?,¿Puedes ayudar a Elián a encontrar su libro? ¿Está sobre la repisa o debajo de los abrigos?,,,,"ToM-scene2-q6-reality_check
Final es-co & de translation review complete",
208,ToM-scene3-instruct1,theory-of-mind,"Joshua, Isabel, and Ivan are playing a game. Here's how the game goes: One kid hides, but draws a clue in the sandbox so the other kids can find them. ","Johan, Isabel e Iván están jugando. El juego es el siguiente: Uno de los niños se esconde, pero debe dibujar una pista en la arena que permita a los otros niños encontrarlo.",,,,"ToM-scene3-instruct1
Final es-co & de translation review complete",
209,ToM-scene3-instruct2,theory-of-mind,"So Ivan is going first. He draws this clue in the sandbox, and then he goes to hide. ","Entonces, Iván va primero. Dibuja esta pista en la arena y se esconde.",,,,"ToM-scene3-instruct2
Final es-co & de translation review complete",
210,ToM-scene3-instruct3,theory-of-mind,"Now it's Joshua's turn to leave a clue, and hide. Isabel and Ivan will then try to use the clue to find him.",Ahora le toca a Johan dejar una pista y esconderse. Isabel e Iván intentarán utilizar la pista para encontrarlo.,,,,"ToM-scene3-instruct3
Final es-co & de translation review complete",
211,ToM-scene3-instruct4,theory-of-mind,"Joshua decides to hide behind the fountain. He draws a clue in the sand. He tries to draw the fountain, with the bottom part and the water coming out of it. But the drawing looks like a tree instead! Then Joshua goes and hides behind the fountain.","Johan decide esconderse detrás de la fuente. Él dibuja una pista en la arena. Él intenta dibujar la parte inferior de la fuente y el agua que sale de ella, ¡pero el dibujo que hace parece un árbol! Ahora, Johan se esconde detrás de la fuente.",,,,"ToM-scene3-instruct4
Final es-co & de translation review complete",
212,ToM-scene3-q1,theory-of-mind,What did Joshua mean to draw?,¿Qué quería dibujar Johan?,,,,"ToM-scene3-q1
Final es-co & de translation review complete",
213,fountain,theory-of-mind,A fountain,Una fuente,,,,"fountain
Final es-co & de translation review complete",
214,tree,theory-of-mind,A tree,Un árbol,,,,"tree
Final es-co & de translation review complete",
215,ToM-scene3-q2-false_belief,theory-of-mind,"When Isabel and Ivan see this clue, where will they look first for Joshua? ","Cuando Isabel e Iván vean esta pista, ¿dónde buscarán primero a Johan?",,,,"ToM-scene3-q2-false_belief
Final es-co & de translation review complete",
216,ToM-scene3-q2-reality_check,theory-of-mind,Can you help them find where Joshua really is?,¿Puedes ayudarles a encontrar dónde está realmente Johan?,,,,"ToM-scene3-q2-reality_check
Final es-co & de translation review complete",
217,behind-fountain,theory-of-mind,Behind the fountain,Detrás de la fuente,,,,"behind-fountain
Final es-co & de translation review complete",
218,behind-tree,theory-of-mind,Behind the tree,Detrás del árbol,,,,"behind-tree
Final es-co & de translation review complete",
219,ToM-scene3-q3-emotion_reasoning,theory-of-mind,"Look, Isabel and Ivan found Joshua, and won the game! How do you think Isabel feels about winning the game?","¡Mira, Isabel e Iván encontraron a Joshua y ganaron el juego! ¿Cómo crees que se siente Isabel por ganar el juego?",,,,"ToM-scene3-q3-emotion_reasoning
Final es-co & de translation review complete",
220,ToM-scene4-instruct1,theory-of-mind,"Now the games are over, and it's almost time to go home. Mother tells the kids to find all of their toys. ",Ya se acabaron los juegos y es hora de volver a casa. Mamá les dice a los niños que busquen todos sus juguetes.,,,,"ToM-scene4-instruct1
Final es-co & de translation review complete",
221,ToM-scene4-instruct2,theory-of-mind,"Joshua brought his toy truck with him to the park, but now he can't find it. He's looking everywhere but he can't find it. ","Johan trajo su camión de juguete al parque, pero ahora no lo encuentra. Lo busca por todas partes, pero no puede encontrarlo.",,,,"ToM-scene4-instruct2
Final es-co & de translation review complete",
222,ToM-scene4-q1-emotion_reasoning,theory-of-mind,How does Joshua feel about losing his truck?,¿Cómo se siente Johan por perder su camión?,,,,"ToM-scene4-q1-emotion_reasoning
Final es-co & de translation review complete",
223,ToM-scene4-q8-emotion_reasoning,theory-of-mind,How would Joshua feel if he found his truck?,¿Cómo se sentiría Johan si encontrara su camión?,,,,"ToM-scene4-q8-emotion_reasoning
",
224,ToM-scene4-instruct3,theory-of-mind,"Joshua can't find his truck because earlier in the day, when no one was looking, Isabel took the toy truck and buried it in the sandbox. ","Johan no encuentra su camión porque antes, cuando nadie miraba, Isabel cogió el camión de juguete y lo enterró en la arena.",,,,"ToM-scene4-instruct3
Final es-co & de translation review complete",
225,ToM-scene4-instruct4,theory-of-mind,"So Joshua looks everywhere and he can't find his toy truck. Mother gets mad at Joshua, because he lost his truck.","Por eso, Johan mira por todas partes y no encuentra su camión de juguete. Mamá se enoja con Johan porque perdió el camión.",,,,"ToM-scene4-instruct4
Final es-co & de translation review complete",
226,ToM-scene4-q2,theory-of-mind,Is it fair that Mother is mad at Joshua for losing his truck?,¿Es justo que Mamá se enoje con Johan por haber perdido su camión?,,,,"ToM-scene4-q2
Final es-co & de translation review complete",
227,ToM-scene4-q3,theory-of-mind,Is Mother mad at Isabel? ,¿Mamá está enojada con Isabel? ,,,,"ToM-scene4-q3
Final es-co & de translation review complete",
228,ToM-scene4-q4-false_belief,theory-of-mind,Is Joshua mad at Isabel? ,¿Johan está enojado con Isabel? ,,,,"ToM-scene4-q4-false_belief
Final es-co & de translation review complete",
229,ToM-scene4-instruct5,theory-of-mind,"When Isabel sees that Mother is mad at Joshua, she goes to the sandbox and digs up the toy truck, and gives it back to Joshua.","Cuando Isabel se da cuenta de que Mamá está enojada con Johan, va al patio de arena, saca el juguete de la arena y se lo devuelve a Johan.",,,,"ToM-scene4-instruct5
Final es-co & de translation review complete",
230,ToM-scene4-q5,theory-of-mind,Is Mother mad at Joshua now?,¿Ahora Mamá está enojada con Johan?,,,,"ToM-scene4-q5
Final es-co & de translation review complete",
231,ToM-scene4-q6,theory-of-mind,Is Mother mad at Isabel now?,¿Ahora Mamá está enojada con Isabel?,,,,"ToM-scene4-q6
Final es-co & de translation review complete",
232,ToM-scene4-q7,theory-of-mind,Is Joshua mad at Isabel now?,¿Ahora Johan está enojado con Isabel?,,,,"ToM-scene4-q7
Final es-co & de translation review complete",
233,ToM-scene4-instruct6,theory-of-mind,"Isabel tells Joshua that she’s very sorry, and she gives him a big hug. Joshua gives her a big hug back, and Mother joins in.","Isabel le pide disculpas a Johan y le da un fuerte abrazo. Johan le devuelve el abrazo, y Mamá se une a ellos.",,,,"ToM-scene4-instruct6
Final es-co & de translation review complete",
234,ToM-scene5-instruct1,theory-of-mind,"This is Katie. Earlier today, Katie's mom was cleaning the house, while Katie watched. Mom left three cups in the kitchen. There is a small cup on the counter, a medium sized cup on the table, and a big cup that she put away up high, on the shelf. ","Ella es Carla. Hace un rato, la mamá de María limpiaba la casa mientras María observaba. La mamá dejó tres tazas en la cocina: hay una taza pequeña en la barra, una taza mediana en la mesa y una taza grande en un estante que está muy alto. ",,,,"ToM-scene5-instruct1
Final es-co & de translation review complete",
235,ToM-scene5-instruct2,theory-of-mind,"Katie and Dad just walked in and Katie asks her dad to get her a cup. Katie tells her Dad, “I want the big cup!”","Carla y Papá acaban de entrar y Carla le pide a su papá que le de una taza. Carla le dice a su papá ""¡quiero la taza grande!"".",,,,"ToM-scene5-instruct2
Final es-co & de translation review complete",
236,ToM-scene5-q1,theory-of-mind,Which cup will Dad give Katie?,¿Cuál taza le dará el Papá a Carla?,,,,"ToM-scene5-q1
Final es-co & de translation review complete",
237,ToM-scene5-q2-reality_check,theory-of-mind,Which cup does Katie want?,¿Cuál taza quiere Carla?,,,,"ToM-scene5-q2-reality_check
Final es-co & de translation review complete",
238,small_cup,theory-of-mind,The small cup,La taza pequeña,,,,"small_cup
Final es-co & de translation review complete",
239,medium_cup,theory-of-mind,The medium sized cup,La taza mediana,,,,"medium_cup
Final es-co & de translation review complete",
240,large_cup,theory-of-mind,The big cup,La taza grande,,,,"large_cup
Final es-co & de translation review complete",
241,ToM-scene5-q3-emotion_reasoning,theory-of-mind,How does Katie feel about not getting the cup she wanted?,¿Cómo se siente Carla por no recibir la taza que quería?,,,,"ToM-scene5-q3-emotion_reasoning
",
242,ToM-scene5-q4-emotion_reasoning,theory-of-mind,How would Katie feel if she had received the cup she wanted?,¿Cómo se sentiría Carla si hubiera recibido la taza que quería?,,,,"ToM-scene5-q4-emotion_reasoning
",
243,ToM-scene6-instruct1,theory-of-mind,"Sam and Maria are playing together. They look outside and see a new shop across the street. Maria tells Sam: “I am going to buy new shirts for us there,” and she walks away.","Sam y María están jugando juntos. Cuando miran hacia afuera ven una tienda nueva al otro lado de la calle. María le dice a Sam: ""voy a ir a comprar camisetas nuevas para nosotros"" y se va.",,,,"ToM-scene6-instruct1
Final es-co & de translation review complete",
244,ToM-scene6-instruct2,theory-of-mind,"Mom comes home and she tells Sam that she just walked by the shop. “Are they selling shirts?” Sam asks. “No,” Mom says, “They are only selling shoes”. “Maria will probably now get shoes at the shop,” Sam says.","        
Mamá llega a casa y le dice a Sam que acaba de pasar por la tienda. ""¿Venden camisetas?"" pregunta Sam. ""No"", dice Mamá, ""solo venden zapatos"". ""Probablemente ahora María va a comprar zapatos en la tienda"", dice Sam.",,,,"ToM-scene6-instruct2
Final es-co & de translation review complete",
245,ToM-scene6-q1,theory-of-mind,Does Maria know that they are selling shoes in the shop?,"	
¿María sabe que en la tienda venden zapatos?",,,,"ToM-scene6-q1
Final es-co & de translation review complete",
246,ToM-scene6-instruct3,theory-of-mind,"Maria has arrived at the shop. “I would like to buy shirts,” she says. “All we have left are socks,” says the shopkeeper. Since Maria also needs socks, she decides to get some socks.","María llega a la tienda y dice ""me gustaría comprar camisas."" La vendedora responde ""Sólo nos quedan medias."" Como María también necesita medias, decide comprar algunos pares.",,,,"ToM-scene6-instruct3
Final es-co & de translation review complete",
247,ToM-scene6-q2,theory-of-mind,Does Sam know that Maria bought some socks?,¿Sam sabe que María ha comprado medias?,,,,"ToM-scene6-q2
Final es-co & de translation review complete",
248,ToM-scene6-q3,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,,,,"ToM-scene6-q3
Final es-co & de translation review complete",
249,shoes,theory-of-mind,Shoes,Zapatos,,,,"shoes
Final es-co & de translation review complete",
250,socks,theory-of-mind,Socks,Medias,,,,"socks
Final es-co & de translation review complete",
251,shirts,theory-of-mind,Shirts,Camisetas,,,,"shirts
Final es-co & de translation review complete",
252,ToM-scene6-instruct4,theory-of-mind,"On her way back, Maria meets her dad. She tells her dad: “I have just bought some socks. I am going to share them with my brother Sam. It is a surprise.”
“That is nice of you,” says Dad. Then he asks Maria: “Does Sam know what you bought him?”","Caminando de regreso, María se encuentra con su padre. Ella le dice ""acabo de comprar unas medias. Voy a compartirlas con mi hermano Sam. Es una sorpresa"".
""Es muy amable de tu parte"", dice Papá. Luego le pregunta a María: ""¿Sam sabe qué le has comprado?"".",,,,"ToM-scene6-instruct4
Final es-co & de translation review complete",
253,ToM-scene6-q4,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,,,,"ToM-scene6-q4
Final es-co & de translation review complete",
254,ToM-scene6-instruct5,theory-of-mind,Then Dad asks: “What does Sam think they are selling at the shop?”,"Entonces Papá pregunta: ""¿Qué cree Sam que venden en la tienda?"".",,,,"ToM-scene6-instruct5
Final es-co & de translation review complete",
255,ToM-scene6-q5,theory-of-mind,What does Maria tell Dad?,¿Qué le dice María a Papá?,,,,"ToM-scene6-q5
Final es-co & de translation review complete",
256,ToM-scene6-q6,theory-of-mind,What does Sam think they are selling at the shop?,¿Qué cree Sam que venden en la tienda?,,,,"ToM-scene6-q6
Final es-co & de translation review complete",
257,ToM-scene6-instruct6,theory-of-mind,Sam is very happy to get his new socks.,Sam está muy feliz por recibir sus medias nuevas.,,,,"ToM-scene6-instruct6
",
258,hostile-attribution-scene1-instruct1,hostile-attribution,Imagine that you are walking to school and you’re wearing your new shoes. You really like your new shoes and this is the first day you have worn them.,Imagina que vas camino a la escuela y llevas puestos tus zapatos nuevos. Te gustan mucho tus zapatos nuevos y es la primera vez que los usas.,,,,"hostile-attribution-scene1-instruct1
Final es-co & de translation review complete",
259,hostile-attribution-scene1-instruct2,hostile-attribution,"Suddenly, you are bumped from behind by a boy. You stumble and fall into a mud puddle and your new shoes get muddy.","De repente, un chico te choca por detrás. Tropiezas y caes en un charco de barro y tus zapatos nuevos se ensucian de barro",,,,"hostile-attribution-scene1-instruct2
Final es-co & de translation review complete",
260,hostile-attribution-scene1-q1,hostile-attribution,Do you think that the boy bumped you on purpose or by accident?,¿Crees que el chico te golpeó a propósito o por accidente?,,,,"hostile-attribution-scene1-q1
Final es-co & de translation review complete",
261,hostile-attribution-scene1-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,,,,"hostile-attribution-scene1-q2
Final es-co & de translation review complete",
262,hostile-attribution-scene1-q2-ans1,hostile-attribution,clean up my shoes,limpiar mis zapatos,,,,"hostile-attribution-scene1-q2-ans1
Final es-co & de translation review complete",
263,hostile-attribution-scene1-q2-ans2,hostile-attribution,walk away from the boy,alejarme del chico,,,,"hostile-attribution-scene1-q2-ans2
Final es-co & de translation review complete",
264,hostile-attribution-scene1-q2-ans3,hostile-attribution,push the boy in the mud,empujar al chico al barro,,,,"hostile-attribution-scene1-q2-ans3
Final es-co & de translation review complete",
265,hostile-attribution-scene2-instruct1,hostile-attribution,"Imagine that you are on the playground. You and some other kids are having a race. A boy is standing on the side, bouncing a basketball.","Imagina que estás en el patio de recreo. Tú y otros niños están haciendo una carrera. Un niño está parado a un lado, haciendo rebotar una pelota de baloncesto.",,,,"hostile-attribution-scene2-instruct1
Es-co complete, de still needs review.",
266,hostile-attribution-scene2-instruct2,hostile-attribution,"The next thing you know, the boy has bounced the ball and it has rolled under your feet, making you fall. You skin your knee and someone else wins the race.","De repente, el chico hace rebotar la pelota y rueda bajo tus pies, haciéndote caer. Te raspas la rodilla, y alguien más gana la carrera.",,,,"hostile-attribution-scene2-instruct2
Es-co complete, de still needs review.",
267,hostile-attribution-scene2-q1,hostile-attribution,Do you think that the boy made you fall on purpose or by accident?,¿Crees que el chico te hizo caer a propósito o por accidente?,,,,"hostile-attribution-scene2-q1
Final es-co & de translation review complete",
268,hostile-attribution-scene2-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,,,,"hostile-attribution-scene2-q2
Final es-co & de translation review complete",
269,hostile-attribution-scene2-q2-ans1,hostile-attribution,go to another area of the playground,ir a otra zona del patio de recreo,,,,"hostile-attribution-scene2-q2-ans1
Final es-co & de translation review complete",
270,hostile-attribution-scene2-q2-ans2,hostile-attribution,say something mean to him,insultar al niño,,,,"hostile-attribution-scene2-q2-ans2
Final es-co & de translation review complete",
271,hostile-attribution-scene2-q2-ans3,hostile-attribution,take care of my knee,curar mi rodilla,,,,"hostile-attribution-scene2-q2-ans3
Final es-co & de translation review complete",
272,hostile-attribution-scene3-instruct1,hostile-attribution,Imagine that you are working on an assignment at your desk. ,Imagina que estás trabajando en una tarea en tu escritorio.,,,,"hostile-attribution-scene3-instruct1
Final es-co & de translation review complete",
273,hostile-attribution-scene3-instruct2,hostile-attribution,"You go to sharpen your pencil, and as you walk back to your desk there is a boy walking just in front of you. The boy passes your desk before you get there. ","Te levantas para sacarle punta a tu lápiz y, de regreso a tu escritorio, vas detrás de un niño que camina justo delante de ti. El niño pasa por tu escritorio antes de que tú llegues.",,,,"hostile-attribution-scene3-instruct2
Final es-co & de translation review complete",
274,hostile-attribution-scene3-instruct3,hostile-attribution,"The next thing you know, the boy has knocked all of your papers off of your desk, and they are all over the floor.","De repente, el chico tira todos los papeles que estaban en tu escritorio y ahora están regados en el suelo.",,,,"hostile-attribution-scene3-instruct3
Es-co complete, de still needs review.",
275,hostile-attribution-scene3-q1,hostile-attribution,Do you think the boy knocked your papers onto the floor on purpose or by accident?,¿Crees que el chico tiró tus papeles al suelo a propósito o por accidente?,,,,"hostile-attribution-scene3-q1
Es-co complete, de still needs review.",
276,hostile-attribution-scene3-q2,hostile-attribution,Now pick one of the three choices as the one you would do:,Ahora escoge cuál de estas tres opciones harías tú:,,,,"hostile-attribution-scene3-q2
Final es-co & de translation review complete",
277,hostile-attribution-scene3-q2-ans1,hostile-attribution,call him a name,insultar al niño,,,,"hostile-attribution-scene3-q2-ans1
Final es-co & de translation review complete",
278,hostile-attribution-scene3-q2-ans2,hostile-attribution,pick up the papers,recoger los papeles,,,,"hostile-attribution-scene3-q2-ans2
Final es-co & de translation review complete",
279,hostile-attribution-scene3-q2-ans3,hostile-attribution,do nothing,no hacer nada,,,,"hostile-attribution-scene3-q2-ans3
Final es-co & de translation review complete",
280,hostile-attribution-scene1-by-accident,theory-of-mind,by accident,por accidente,,,,"hostile-attribution-scene1-by-accident
Final es-co & de translation review complete",
281,hostile-attribution-scene1-on-purpose,theory-of-mind,on purpose,a propósito,,,,"hostile-attribution-scene1-on-purpose
Final es-co & de translation review complete",
282,hostile-attribution-scene2-by-accident,theory-of-mind,by accident,por accidente,,,,"hostile-attribution-scene2-by-accident
Final es-co & de translation review complete",
283,hostile-attribution-scene2-on-purpose,theory-of-mind,on purpose,a propósito,,,,"hostile-attribution-scene2-on-purpose
Final es-co & de translation review complete",
284,hostile-attribution-scene3-by-accident,theory-of-mind,by accident,por accidente,,,,"hostile-attribution-scene3-by-accident
Final es-co & de translation review complete",
285,hostile-attribution-scene3-on-purpose,theory-of-mind,on purpose,a propósito,,,,"hostile-attribution-scene3-on-purpose
Final es-co & de translation review complete",
286,same-different-selection-instruct1,same-different-selection,"This is the matching game. In this game, you're going to choose sets of cards that match in some way. First, let's look at some of the cards you are going to see.","Este es el juego de parejas. En este juego, vas a elegir conjuntos de cartas que se parecen de alguna manera. Primero, veamos algunas de las cartas que vas a ver.",,,,"same-different-selection-instruct1
Final es-co & de translation review complete",
287,same-different-selection-touch-circle,same-different-selection,Choose the card with a circle.,Escoge la carta que tiene un círculo.,,,,"same-different-selection-touch-circle
Final es-co & de translation review complete",
288,same-different-selection-touch-square,same-different-selection,Choose the card with a square.,Escoge la carta que tiene un cuadrado.,,,,"same-different-selection-touch-square
Final es-co & de translation review complete",
289,same-different-selection-touch-triangle,same-different-selection,Choose the card with a triangle.,Escoge la carta que tiene un triángulo.,,,,"same-different-selection-touch-triangle
Final es-co & de translation review complete",
290,same-different-selection-touch-star,same-different-selection,Choose the card with a star.,Escoge la carta que tiene una estrella.,,,,"same-different-selection-touch-star
Final es-co & de translation review complete",
291,same-different-selection-touch-green,same-different-selection,Choose the card with a green shape.,Escoge la carta que tiene una figura verde.,,,,"same-different-selection-touch-green
Final es-co & de translation review complete",
292,same-different-selection-touch-red,same-different-selection,Choose the card with a red shape.,Escoge la carta que tiene una figura roja.,,,,"same-different-selection-touch-red
Final es-co & de translation review complete",
293,same-different-selection-touch-blue,same-different-selection,Choose the card with a blue shape.,Escoge la carta que tiene una figura azul.,,,,"same-different-selection-touch-blue
Final es-co & de translation review complete",
294,same-different-selection-touch-yellow,same-different-selection,Choose the card with a yellow shape.,Escoge la carta que tiene una figura amarilla.,,,,"same-different-selection-touch-yellow
Final es-co & de translation review complete",
295,same-different-selection-touch-small,same-different-selection,Choose the card with a small shape.,Escoge la carta que tiene una figura pequeña.,,,,"same-different-selection-touch-small
Final es-co & de translation review complete",
296,same-different-selection-touch-medium,same-different-selection,Choose the card with a medium-sized shape.,Escoge la carta que tiene una figura mediana.,,,,"same-different-selection-touch-medium
Final es-co & de translation review complete",
297,same-different-selection-touch-large,same-different-selection,Choose the card with a large shape.,Escoge la carta que tiene una figura grande.,,,,"same-different-selection-touch-large
Final es-co & de translation review complete",
298,same-different-selection-touch-white,same-different-selection,Choose the star on the white card.,Escoge la estrella en la carta blanca.,,,,"same-different-selection-touch-white
Final es-co & de translation review complete",
299,same-different-selection-touch-gray,same-different-selection,Choose the star on the gray card.,Escoge la estrella en la carta gris.,,,,"same-different-selection-touch-gray
Final es-co & de translation review complete",
300,same-different-selection-touch-black,same-different-selection,Choose the star on the black card.,Escoge la estrella en la carta negra.,,,,"same-different-selection-touch-black
Final es-co & de translation review complete",
301,same-different-selection-touch-striped,same-different-selection,Choose the star on the striped card.,Escoge la estrella en la carta con rayas.,,,,"same-different-selection-touch-striped
Final es-co & de translation review complete",
302,same-different-selection-touch-1,same-different-selection,Choose the card with 1 star.,Escoge la carta con 1 estrella.,,,,"same-different-selection-touch-1
Final es-co & de translation review complete",
303,same-different-selection-touch-2,same-different-selection,Choose the card with 2 stars.,Escoge la carta con 2 estrellas.,,,,"same-different-selection-touch-2
Final es-co & de translation review complete",
304,same-different-selection-touch-3,same-different-selection,Choose the card with 3 stars.,Escoge la carta con 3 estrellas.,,,,"same-different-selection-touch-3
Final es-co & de translation review complete",
305,same-different-selection-touch-4,same-different-selection,Choose the card with 4 stars.,Escoge la carta con 4 estrellas.,,,,"same-different-selection-touch-4
Final es-co & de translation review complete",
306,same-different-selection-instruct2,same-different-selection,Now you're going to see two cards that are the same in one way. Then you will see a new card that is similar to one of those cards. Your job is to choose the card that is similar to the new card.,Ahora vas a ver dos cartas que son iguales de alguna manera. Luego vas a ver una nueva carta que se parece a una de esas cartas. Tu trabajo es elegir la carta que se parece en algo a esa nueva carta.,,,,"same-different-selection-instruct2
Final es-co & de translation review complete",
307,same-different-selection-instruct3,same-different-selection,"Now you're going to see three cards, and you're going to choose two that are the same in some way. Then you're going to see the same cards again, and pick two cards that are the same in a different way.","Ahora vas a ver tres cartas y debes escoger dos que sean iguales de alguna manera. Luego vas a ver las mismas tres cartas, pero  vas a escoger otras dos cartas que sean iguales de alguna otra manera.",,,,"same-different-selection-instruct3
Final es-co & de translation review complete",
308,same-different-selection-both-circles,same-different-selection,Here are two cards. Something's the same. They both have circles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen círculos.,,,,"same-different-selection-both-circles
Final es-co & de translation review complete",
309,same-different-selection-both-squares,same-different-selection,Here are two cards. Something's the same. They both have squares.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen cuadrados.,,,,"same-different-selection-both-squares
Final es-co & de translation review complete",
310,same-different-selection-both-triangles,same-different-selection,Here are two cards. Something's the same. They both have triangles.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen triángulos.,,,,"same-different-selection-both-triangles
Final es-co & de translation review complete",
311,same-different-selection-both-red,same-different-selection,Here are two cards. Something's the same. They both have red shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras rojas.,,,,"same-different-selection-both-red
Final es-co & de translation review complete",
312,same-different-selection-both-green,same-different-selection,Here are two cards. Something's the same. They both have green shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras verdes.,,,,"same-different-selection-both-green
Final es-co & de translation review complete",
313,same-different-selection-both-yellow,same-different-selection,Here are two cards. Something's the same. They both have yellow shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras amarillas.,,,,"same-different-selection-both-yellow
Final es-co & de translation review complete",
314,same-different-selection-both-blue,same-different-selection,Here are two cards. Something's the same. They both have blue shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras azules.,,,,"same-different-selection-both-blue
Final es-co & de translation review complete",
315,same-different-selection-both-small,same-different-selection,Here are two cards. Something's the same. They both have small shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras pequeñas.,,,,"same-different-selection-both-small
Final es-co & de translation review complete",
316,same-different-selection-both-medium,same-different-selection,Here are two cards. Something's the same. They both have medium-sized shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras medianas.,,,,"same-different-selection-both-medium
Final es-co & de translation review complete",
317,same-different-selection-both-large,same-different-selection,Here are two cards. Something's the same. They both have large shapes.,Aquí hay dos cartas. Son iguales en algo. Ambas tienen figuras grandes.,,,,"same-different-selection-both-large
Final es-co & de translation review complete",
318,sds-prompt3,same-different-selection,Here is another card. Which of these is similar to this one?,Aquí hay otra carta. ¿Cuál de estas tiene algo que es igual a esta?,,,,"sds-prompt3
Final es-co & de translation review complete",
